trade_number,trade_type,buy_time,sell_time,buy_price,sell_price,quantity,notional,risk_amount,risk_percent,buy_fee,sell_fee,profit,profit_percent,exit_reason,balance_after_trade
1,NORMAL,2026-05-06 07:00:00,2026-05-06 13:00:00,0.11579787,0.11342517,43178.6871382,5000.0,100.0,1.0,5.0,4.89755,-112.34755,-2.2447,STOP LOSS,9887.65245
2,NORMAL,2026-05-13 11:00:00,2026-05-13 13:00:00,0.11275635,0.11044597,43845.21337379,4943.826225,98.8765245,1.0,4.94382623,4.84252723,-111.0853528,-2.2447,STOP LOSS,9776.5670972
3,NORMAL,2026-06-12 15:00:00,2026-06-12 22:00:00,0.08748372,0.08632682,55876.49391909,4888.2835486,97.76567097,1.0,4.88828355,4.82363975,-74.3557185,-1.5196,ATR TRAILING,9702.2113787
4,NORMAL,2026-06-13 12:00:00,2026-06-14 09:00:00,0.08861428,0.08679858,54744.05948601,4851.10568935,97.02211379,1.0,4.85110569,4.75170653,-109.0019678,-2.2447,STOP LOSS,9593.2094109
5,NORMAL,2026-06-15 01:00:00,2026-06-15 18:00:00,0.08847421,0.08928534,54214.71900543,4796.60470545,95.93209411,1.0,4.79660471,4.84057935,34.33745883,0.7152,ATR TRAILING,9627.54686973
6,NORMAL,2026-07-03 08:00:00,2026-07-04 01:00:00,0.07492744,0.07680158,64245.79718238,4813.77343486,96.2754687,1.0,4.81377343,4.93417873,110.65734494,2.2965,ATR TRAILING,9738.20421466
7,NORMAL,2026-07-04 12:00:00,2026-07-04 22:00:00,0.07716856,0.07790103,63096.96321723,4869.10210733,97.38204215,1.0,4.86910211,4.91531842,36.43189663,0.7475,ATR TRAILING,9774.63611129
8,NORMAL,2026-07-05 23:00:00,2026-07-06 12:00:00,0.07790893,0.07490253,62731.16242248,4887.31805565,97.74636111,1.0,4.88731806,4.69872278,-198.18132119,-4.051,DAILY LOSS LIMIT REACHED — RECOVERY WATCH ACTIVE,9576.4547901
