trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade
1,LINKUSDT,2026-05-04 18:00:00,2026-05-06 14:00:00,9.474735,9.97967652,9.31810211,9.98466885,191.53066082,47.8826652,1814.7022556,0.3,95.0,2.1033,IGNITION,1.81470226,1.90200175,True,83.58279492,4.6013,STOP LOSS,10083.58279492
2,LINKUSDT,2026-05-07 07:00:00,2026-05-07 14:45:00,10.06503,9.89921777,9.90416985,9.90416985,141.04215097,0.0,1419.5934808,0.225,100.0,2.0999,IGNITION,1.41959348,1.39620697,False,-26.20231445,-1.8439,STOP LOSS,10057.38048048
3,SOLUSDT,2026-05-09 02:00:00,2026-05-09 15:00:00,93.56676,92.8508594,92.32697711,92.89730805,18.25247485,0.0,1707.82493367,0.225,100.0,2.2443,ADAPTIVE_BREAKOUT,1.70782493,1.69475798,False,-16.46954064,-0.9634,STOP LOSS,10040.91093983
4,SOLUSDT,2026-05-11 16:00:00,2026-05-12 01:30:00,96.838395,96.93516077,95.588321,96.98365259,24.09675978,0.0,2333.49154185,0.3,100.0,2.2956,ADAPTIVE_BREAKOUT,2.33349154,2.33582328,False,-2.3375734,-0.1001,STOP LOSS,10038.57336643
