trade_number,trade_type,buy_time,sell_time,buy_price,sell_price,quantity,notional,risk_amount,risk_percent,buy_fee,sell_fee,profit,profit_percent,exit_reason,balance_after_trade
1,NORMAL,2026-05-10 20:00:00,2026-05-11 07:00:00,1.450725,1.4486753,3446.55258578,5000.0,100.0,1.0,5.0,4.9929356,-17.05733444,-0.3408,ATR TRAILING,9982.94266556
2,NORMAL,2026-06-13 13:00:00,2026-06-14 14:00:00,1.1517756,1.12817572,4333.71859309,4991.47133278,99.82942666,1.0,4.99147133,4.88919609,-112.15591503,-2.2447,STOP LOSS,9870.78675054
3,NORMAL,2026-07-10 11:00:00,2026-07-12 00:00:00,1.11305625,1.09024973,4434.09160612,4935.39337527,98.70786751,1.0,4.93539338,4.83426717,-110.8958708,-2.2447,STOP LOSS,9759.89087974
4,NORMAL,2026-07-15 16:00:00,2026-07-16 17:00:00,1.114557,1.09171973,4378.37225002,4879.94543987,97.5989088,1.0,4.87994544,4.77995536,-109.64998286,-2.2447,STOP LOSS,9650.24089688
