trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade
22,LINKUSDT,2021-03-13 23:00:00,2021-03-14 01:15:00,29.90144325,29.44899595,29.46372781,29.46372781,68.49337866,0.0,2048.0508749,0.3,95.0,2.0703,IGNITION,2.04805087,2.01706123,False,-35.0547563,-1.7099,STOP LOSS,9958.48159666
23,LINKUSDT,2021-03-19 09:00:00,2021-03-20 00:15:00,30.12135315,29.55720506,29.45823108,29.57199106,45.05270753,0.0,1357.04851374,0.3,98.0,2.1274,IGNITION,1.35704851,1.33163211,False,-28.10507942,-2.069,STOP LOSS,9930.37651724
24,LINKUSDT,2021-04-01 19:00:00,2021-04-02 00:30:00,30.2801325,29.52620582,29.54097631,29.54097631,40.30424141,0.0,1220.41777009,0.3,100.0,2.1518,IGNITION,1.22041777,1.19003133,False,-32.79689197,-2.6847,STOP LOSS,9897.57962527
25,ETHUSDT,2021-04-02 15:00:00,2021-04-03 04:00:00,2071.185075,2092.023465,2028.03005396,2074.29185261,0.91739773,0.0,1900.10049412,0.4,100.0,2.3082,ETH_365D,1.90010049,1.91921759,False,15.29777368,0.8043,EMA10 CLOSE EXIT,9912.87739895
26,LINKUSDT,2021-04-03 10:00:00,2021-04-03 15:00:00,32.6575206,31.69662834,31.71248458,31.71248458,31.4682527,0.0,1027.67511074,0.3,100.0,2.1488,IGNITION,1.02767511,0.99743751,False,-32.26271306,-3.1363,STOP LOSS,9880.6146859
27,ETHUSDT,2021-04-10 05:00:00,2021-04-10 07:45:00,2192.27559,2153.6098947,2154.68723832,2154.68723832,1.05145496,0.0,2305.07903856,0.4,100.0,2.3009,ETH_365D,2.30507904,2.2644238,False,-45.22473987,-1.96,STOP LOSS,9835.38994602
28,LINKUSDT,2021-04-11 15:00:00,2021-04-12 09:45:00,32.5992915,32.7538149,32.12797074,32.92731561,46.95237161,11.7380929,1530.61404873,0.225,95.0,2.0778,IGNITION,1.53061405,1.54692343,True,13.23184712,0.8636,MARKET SEVERE SHOCK,9848.62179314
29,ETHUSDT,2021-04-13 09:00:00,2021-04-13 19:00:00,2221.41015,2263.28779,2189.94262929,2224.74226523,1.25190947,0.31297737,2781.00440318,0.4,100.0,2.2552,ETH_365D,2.7810044,2.83966443,True,53.03936115,1.9053,MARKET SEVERE SHOCK,9901.66115429
30,ETHUSDT,2021-04-14 22:00:00,2021-04-15 09:00:00,2427.343065,2435.3817,2374.18401735,2430.9840796,0.74505933,0.0,1808.51460628,0.4,100.0,2.3231,ETH_365D,1.80851461,1.81450387,False,2.36624156,0.1307,EMA10 CLOSE EXIT,9904.02739585
31,ETHUSDT,2021-04-15 21:00:00,2021-04-15 23:45:00,2500.619685,2507.15726073,2466.52780742,2508.41146646,1.16203954,0.0,2905.81893689,0.4,100.0,2.2534,ETH_365D,2.90581894,2.91341586,False,1.77768667,0.0611,STOP LOSS,9905.80508252
32,ETHUSDT,2021-04-27 16:00:00,2021-04-27 17:15:00,2664.341505,2618.32381244,2619.63362925,2619.63362925,0.66531333,0.0,1772.62191035,0.3,100.0,2.2987,ETH_365D,1.77262191,1.74200573,False,-34.13081177,-1.9235,STOP LOSS,8941.59439535
33,LINKUSDT,2021-04-27 15:00:00,2021-04-27 19:30:00,36.3571695,36.3934994,35.48504961,36.41170525,25.55618981,0.0,929.15072468,0.225,100.0,2.1407,IGNITION,0.92915072,0.93007918,False,-0.93077604,-0.1001,STOP LOSS,9870.74349471
34,ETHUSDT,2021-04-28 13:00:00,2021-04-28 13:30:00,2724.92178,2678.4105313,2679.7504065,2679.7504065,0.65555302,0.0,1786.33071233,0.3,100.0,2.2862,ETH_365D,1.78633071,1.75584012,False,-34.03276056,-1.9033,STOP LOSS,9836.71073415
35,ETHUSDT,2021-04-29 10:00:00,2021-04-29 14:00:00,2763.070845,2744.627,2719.67773159,2719.67773159,0.68006487,0.0,1879.06742604,0.3,100.0,2.2918,ETH_365D,1.87906743,1.86652441,False,-16.28860297,-0.866,EMA10 CLOSE EXIT,9820.42213118
36,ETHUSDT,2021-05-01 03:00:00,2021-05-01 09:15:00,2825.6121,2817.65884395,2779.38320026,2819.06837814,0.84972147,0.0,2400.98325978,0.4,100.0,2.3013,ETH_365D,2.40098326,2.39422521,False,-11.55326087,-0.4807,STOP LOSS,9808.86887032
37,ETHUSDT,2021-05-02 19:00:00,2021-05-02 22:45:00,2968.02327,2932.57298,2936.91092247,2951.74963303,1.15669717,0.0,3433.10410461,0.3669,100.0,2.239,ETH_365D,3.4331041,3.39209885,False,-47.83045293,-1.3918,HARD DRAWDOWN LOCK,9761.03841739
