trade_number,symbol,entry_time,exit_time,entry_price,final_exit_price,initial_quantity,partial_quantity,entry_notional,allocation_percent,account_risk_percent,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade
27,ETHUSDT,2026-07-03 08:00:00,2026-07-05 00:00:00,1720.749945,1770.70425422,1.6341918,0.40854795,2812.03544301,30.0,0.6,2.81203544,2.908043,True,90.28747667,3.2075,DYNAMIC ATR TRAILING,9493.78652445
28,LINKUSDT,2026-07-05 23:00:00,2026-07-06 09:00:00,8.0670315,7.90173802,235.37249171,0.0,1898.75730489,20.0,0.4,1.8987573,1.85985177,False,-42.66414625,-2.2447,STOP LOSS,9451.1223782
29,ETHUSDT,2026-07-06 21:00:00,2026-07-07 02:00:00,1815.78744,1778.58195535,1.56149153,0.0,2835.33671346,30.0,0.6,2.83533671,2.77724066,False,-63.70862664,-2.2447,STOP LOSS,7496.15036122
30,BTCUSDT,2026-07-06 21:00:00,2026-07-07 03:00:00,64522.22499,63200.16459995,0.02928253,0.0,1889.37401632,20.0,0.4,1.88937402,1.85066074,False,-42.45330835,-2.2447,STOP LOSS,9344.96044321
31,BTCUSDT,2026-07-10 01:00:00,2026-07-13 02:00:00,63781.73493,63344.302005,0.0439544,0.0,2803.48813296,30.0,0.6,2.80348813,2.78426103,False,-24.81485259,-0.8843,STRATEGY SELL CONFIRMED,7466.13691076
32,LINKUSDT,2026-07-10 13:00:00,2026-07-13 11:00:00,7.991994,7.9310325,231.75149072,0.0,1852.15652334,20.0,0.3952,1.85215652,1.8380286,False,-17.81810363,-0.9611,REGIME SLEEP CONFIRMED,9302.32748699
33,LINKUSDT,2026-07-14 17:00:00,2026-07-16 08:00:00,8.2671315,8.42088634,225.043656,0.0,1860.4654974,20.0,0.4,1.8604655,1.89506705,False,30.84601774,1.6563,DYNAMIC ATR TRAILING,7461.58443125
34,ETHUSDT,2026-07-15 16:00:00,2026-07-16 08:00:00,1920.57981,1881.22712969,0.97351818,0.0,1869.71935413,20.0,0.4,1.86971935,1.8314088,False,-42.01167772,-2.2447,STOP LOSS,9291.161827
35,BTCUSDT,2026-07-19 03:00:00,2026-07-20 00:00:00,64738.53309,64521.56308,0.04305548,0.0,2787.3485481,30.0,0.6,2.78734855,2.7780068,False,-14.90710304,-0.5343,END OF BACKTEST,7417.00102752
36,ETHUSDT,2026-07-19 03:00:00,2026-07-20 00:00:00,1868.01354,1871.20393,0.99431629,0.0,1857.39630013,20.0,0.4,1.8573963,1.86056856,False,-0.5457081,-0.0294,END OF BACKTEST,9275.70901586
