trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade
22,LINKUSDT,2026-01-06 15:00:00,2026-01-06 16:30:00,14.10705,13.783105,13.74451713,13.74451713,83.59974832,0.0,1179.34582955,0.3,100.0,2.1378,IGNITION,1.17934583,1.15978432,False,-21.90063526,-1.8552,MARKET SEVERE SHOCK,10080.65146406
23,SOLUSDT,2026-01-12 03:00:00,2026-01-12 03:45:00,142.49121,142.63359434,141.179879,142.70494681,17.29652224,0.0,2464.60238314,0.225,100.0,2.2154,ADAPTIVE_BREAKOUT,2.46460238,2.46706514,False,-2.46891359,-0.1001,STOP LOSS,10078.18255047
24,SOLUSDT,2026-01-12 16:00:00,2026-01-12 17:00:00,142.65129,142.7938343,141.20035204,142.86526694,15.62844954,0.0,2229.41848741,0.225,100.0,2.2329,ADAPTIVE_BREAKOUT,2.22941849,2.23164623,False,-2.2333183,-0.1001,STOP LOSS,10075.94923218
25,LINKUSDT,2026-01-15 13:00:00,2026-01-15 14:45:00,14.097045,14.002995,13.90297959,13.90297959,155.76113014,0.0,2195.77166087,0.3,99.0,2.0838,IGNITION,2.19577166,2.18112233,False,-19.02622828,-0.8656,MARKET SEVERE SHOCK,10056.9230039
26,LINKUSDT,2026-02-26 10:00:00,2026-02-26 15:00:00,9.30465,9.14006612,9.14463844,9.14463844,141.41526263,0.0,1315.81952345,0.225,100.0,2.107,IGNITION,1.31581952,1.29254485,False,-25.88303686,-1.9651,STOP LOSS,10031.03996704
27,LINKUSDT,2026-03-05 15:00:00,2026-03-05 15:15:00,9.394695,9.27536,9.2444925,9.2444925,200.35032389,0.0,1882.23018614,0.3,100.0,2.1,IGNITION,1.88223019,1.85832138,False,-27.64935747,-1.4675,MARKET SEVERE SHOCK,10003.39060957
28,SOLUSDT,2026-03-10 16:00:00,2026-03-10 18:15:00,88.38417,87.1311526,87.17473997,87.17473997,18.61011251,0.0,1644.83934817,0.225,100.0,2.2477,ADAPTIVE_BREAKOUT,1.64483935,1.62152055,False,-26.58515463,-1.6147,STOP LOSS,9976.80545494
29,SOLUSDT,2026-03-13 13:00:00,2026-03-13 15:00:00,91.0455,91.13647722,89.81895996,91.18206825,24.40231498,0.0,2221.72096895,0.3,100.0,2.2739,ADAPTIVE_BREAKOUT,2.22172097,2.22394102,False,-2.22560731,-0.1001,STOP LOSS,9974.57984763
30,LINKUSDT,2026-03-15 00:00:00,2026-03-15 13:15:00,9.174585,9.1837527,9.05514741,9.18834688,187.90402636,0.0,1723.94146165,0.225,100.0,2.0772,IGNITION,1.72394146,1.72566411,False,-1.72695707,-0.1001,STOP LOSS,9972.85289056
31,SOLUSDT,2026-03-15 22:00:00,2026-03-16 01:15:00,90.045,91.5270037,88.57988168,91.57279009,20.42057509,5.10514377,1838.77068385,0.3,100.0,2.2956,ADAPTIVE_BREAKOUT,1.83877068,1.87619016,True,33.70451838,1.8312,STOP LOSS,10006.55740894
32,SOLUSDT,2026-03-16 21:00:00,2026-03-16 23:15:00,95.817885,95.91363102,94.70658914,95.96161183,26.10827146,0.0,2501.63935223,0.29,100.0,2.2841,ADAPTIVE_BREAKOUT,2.50163935,2.50413912,False,-2.50601534,-0.1001,STOP LOSS,10004.05139359
33,SOLUSDT,2026-03-17 19:00:00,2026-03-18 00:30:00,95.377665,94.20306068,94.25018577,94.25018577,26.22220672,0.0,2501.0128484,0.2955,100.0,2.2261,ADAPTIVE_BREAKOUT,2.50101285,2.47021213,False,-35.77194223,-1.4289,STOP LOSS,9968.27945137
34,SOLUSDT,2026-03-24 08:00:00,2026-03-24 13:45:00,91.755855,90.72553987,90.77092533,90.77092533,22.77180742,0.0,2089.44666001,0.225,100.0,2.2762,ADAPTIVE_BREAKOUT,2.08944666,2.06598452,False,-27.61756896,-1.3204,STOP LOSS,9940.6618824
35,LINKUSDT,2026-03-25 20:00:00,2026-03-26 02:45:00,9.354675,9.26310398,9.26773785,9.26773785,257.27192836,0.0,2406.6952764,0.225,95.0,2.0279,IGNITION,2.40669528,2.38313662,False,-28.34848553,-1.1767,STOP LOSS,9912.31339687
36,SOLUSDT,2026-04-09 18:00:00,2026-04-09 18:30:00,84.692325,83.72767496,83.76955974,83.76955974,24.16942438,0.0,2046.96474503,0.225,100.0,2.2441,ADAPTIVE_BREAKOUT,2.04696475,2.02364971,False,-27.38565062,-1.3365,STOP LOSS,9884.92774626
37,LINKUSDT,2026-04-10 05:00:00,2026-04-10 08:00:00,8.974485,8.88774116,8.89218726,8.89218726,275.36197749,0.0,2471.23193656,0.2293,95.0,2.0256,IGNITION,2.47123194,2.44734598,False,-28.8045325,-1.1644,STOP LOSS,9856.12321375
38,SOLUSDT,2026-04-10 13:00:00,2026-04-10 16:00:00,84.152055,84.23614394,83.37475661,84.27828308,29.28069675,0.0,2464.03080344,0.2309,100.0,2.216,ADAPTIVE_BREAKOUT,2.4640308,2.46649299,False,-2.46834101,-0.1001,STOP LOSS,9853.65487274
39,LINKUSDT,2026-04-21 16:00:00,2026-04-21 17:15:00,9.42471,9.3184933,9.32315488,9.32315488,218.31220957,0.0,2057.52926466,0.225,100.0,2.0516,IGNITION,2.05752926,2.03434086,False,-27.28027286,-1.3246,STOP LOSS,9826.37459988
40,SOLUSDT,2026-04-22 03:00:00,2026-04-22 17:00:00,87.46371,87.55110811,86.43482445,87.59490556,28.08700488,0.0,2456.59364997,0.2941,100.0,2.2556,ADAPTIVE_BREAKOUT,2.45659365,2.4590484,False,-2.46089085,-0.1001,STOP LOSS,9823.91370904
41,LINKUSDT,2026-04-26 15:00:00,2026-04-27 01:30:00,9.48474,9.49421763,9.39050269,9.49896711,258.93998436,0.0,2455.97842726,0.2484,100.0,2.039,IGNITION,2.45597843,2.45843256,False,-2.46027455,-0.1001,STOP LOSS,9821.45343449
