event_time,symbol,event_type,details
2021-01-03 13:45:00,ETHUSDT,2R PARTIAL PROFIT,Reduced 25% at 857.20080894; remaining quantity 1.50405014
2021-01-04 06:00:00,ETHUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 1083.63791000; remaining quantity 0.63251703
2021-01-04 06:00:00,ETHUSDT,2R PARTIAL PROFIT,Reduced 25% at 1085.49599365; remaining quantity 0.47438777
2021-01-04 07:00:00,ETHUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 1104.44750000; remaining quantity 0.23719389
2021-01-06 05:45:00,LINKUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 14.37980650; remaining quantity 39.95688824
2021-02-03 06:45:00,ETHUSDT,2R PARTIAL PROFIT,Reduced 25% at 1565.41102170; remaining quantity 0.84797834
2021-02-06 01:30:00,LINKUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 25.87675515; remaining quantity 17.42052038
2021-02-09 22:30:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 27.05451479; remaining quantity 35.55026590
2021-02-18 07:30:00,ETHUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 1880.60922500; remaining quantity 0.39990986
2021-02-18 12:15:00,ETHUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 1882.54825500; remaining quantity 0.19995493
2021-02-20 00:15:00,ETHUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 1931.20391500; remaining quantity 0.89609595
2021-02-20 13:30:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 36.61728428; remaining quantity 22.70773273
2021-04-11 16:00:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 33.52516205; remaining quantity 35.21427871
2021-04-13 16:15:00,ETHUSDT,2R PARTIAL PROFIT,Reduced 25% at 2283.20301883; remaining quantity 0.93893210
2021-05-02 22:45:00,PORTFOLIO,HARD LOCK,Drawdown 5.11%
