event_time,symbol,event_type,details
2022-03-18 16:15:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 15.14183925; remaining quantity 59.60930009
2022-03-31 10:30:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 17.97469107; remaining quantity 71.71997413
2022-05-05 14:00:00,LINKUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 11.72413500; remaining quantity 63.56924351
2022-07-07 16:45:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 38.93276798; remaining quantity 26.58173444
2022-07-09 19:15:00,LINKUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 6.49675000; remaining quantity 155.63233641
2022-07-19 04:15:00,LINKUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 6.75462100; remaining quantity 115.82443309
2022-08-12 20:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 44.90094669; remaining quantity 26.75863604
2022-09-11 09:00:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 8.09507205; remaining quantity 177.05957174
2022-10-30 21:15:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 7.83905914; remaining quantity 146.45538179
2022-11-04 20:45:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 8.74118784; remaining quantity 97.02940319
