trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade
22,LINKUSDT,2026-01-15 13:00:00,2026-01-15 14:45:00,14.097045,14.002995,13.90297959,13.90297959,154.16461636,0.0,2173.2655343,0.3,99.0,2.0838,IGNITION,2.17326553,2.15876635,False,-18.83121406,-0.8656,MARKET SEVERE SHOCK,9953.84198412
23,LINKUSDT,2026-02-26 10:00:00,2026-02-26 15:00:00,9.30465,9.14006612,9.14463844,9.14463844,139.96579051,0.0,1302.33269271,0.225,100.0,2.107,IGNITION,1.30233269,1.27929658,False,-25.61774201,-1.9651,STOP LOSS,9928.22424211
24,LINKUSDT,2026-03-05 15:00:00,2026-03-05 15:15:00,9.394695,9.27536,9.2444925,9.2444925,198.2967817,0.0,1862.93778358,0.3,100.0,2.1,IGNITION,1.86293778,1.83927404,False,-27.36595827,-1.4675,MARKET SEVERE SHOCK,9900.85828384
25,SOLUSDT,2026-03-10 16:00:00,2026-03-10 18:15:00,88.38417,87.1311526,87.17473997,87.17473997,18.41936338,0.0,1627.98014409,0.225,100.0,2.2477,ADAPTIVE_BREAKOUT,1.62798014,1.60490036,False,-26.31266325,-1.6147,STOP LOSS,9874.54562059
26,SOLUSDT,2026-03-13 13:00:00,2026-03-13 15:00:00,91.0455,91.13647722,89.81895996,91.18206825,24.15219718,0.0,2198.94886827,0.3,100.0,2.2739,ADAPTIVE_BREAKOUT,2.19894887,2.20114617,False,-2.20279538,-0.1001,STOP LOSS,9872.34282521
27,LINKUSDT,2026-03-15 00:00:00,2026-03-15 13:15:00,9.174585,9.1837527,9.05514741,9.18834688,185.97805569,0.0,1706.2714801,0.225,100.0,2.0772,IGNITION,1.70627148,1.70797647,False,-1.70925618,-0.1001,STOP LOSS,9870.63356903
28,SOLUSDT,2026-03-15 22:00:00,2026-03-16 01:15:00,90.045,91.5270037,88.57988168,91.57279009,20.21126915,5.05281729,1819.92373065,0.3,100.0,2.2956,ADAPTIVE_BREAKOUT,1.81992373,1.85695967,True,33.35905525,1.8312,STOP LOSS,9903.99262428
29,SOLUSDT,2026-03-16 21:00:00,2026-03-16 23:15:00,95.817885,95.91363102,94.70658914,95.96161183,25.84066801,0.0,2475.99815607,0.29,100.0,2.2841,ADAPTIVE_BREAKOUT,2.47599816,2.4784723,False,-2.4803293,-0.1001,STOP LOSS,9901.51229499
30,SOLUSDT,2026-03-17 19:00:00,2026-03-18 00:30:00,95.377665,94.20306068,94.25018577,94.25018577,25.95343547,0.0,2475.37807375,0.2955,100.0,2.2261,ADAPTIVE_BREAKOUT,2.47537807,2.44489306,False,-35.4052885,-1.4289,STOP LOSS,9866.10700648
31,SOLUSDT,2026-03-24 08:00:00,2026-03-24 13:45:00,91.755855,90.72553987,90.77092533,90.77092533,22.53840192,0.0,2068.0303389,0.225,100.0,2.2762,ADAPTIVE_BREAKOUT,2.06803034,2.04480868,False,-27.33449558,-1.3204,STOP LOSS,9838.7725109
32,LINKUSDT,2026-03-25 20:00:00,2026-03-26 02:45:00,9.354675,9.26310398,9.26773785,9.26773785,254.63495354,0.0,2382.02723396,0.225,95.0,2.0279,IGNITION,2.38202723,2.35871005,False,-28.05792043,-1.1767,STOP LOSS,9810.71459047
33,SOLUSDT,2026-04-09 18:00:00,2026-04-09 18:30:00,84.692325,83.72767496,83.76955974,83.76955974,23.92169365,0.0,2025.98385323,0.225,100.0,2.2441,ADAPTIVE_BREAKOUT,2.02598385,2.00290779,False,-27.10495435,-1.3365,STOP LOSS,9783.60963612
34,LINKUSDT,2026-04-10 05:00:00,2026-04-10 08:00:00,8.974485,8.88774116,8.89218726,8.89218726,272.53958406,0.0,2445.90240903,0.2293,95.0,2.0256,IGNITION,2.44590241,2.42226128,False,-28.50929304,-1.1644,STOP LOSS,9755.10034308
35,SOLUSDT,2026-04-10 13:00:00,2026-04-10 16:00:00,84.152055,84.23614394,83.37475661,84.27828308,28.98057672,0.0,2438.77508577,0.2309,100.0,2.216,ADAPTIVE_BREAKOUT,2.43877509,2.44121203,False,-2.44304111,-0.1001,STOP LOSS,9752.65730197
36,LINKUSDT,2026-04-21 16:00:00,2026-04-21 17:15:00,9.42471,9.3184933,9.32315488,9.32315488,216.07456241,0.0,2036.4400891,0.225,100.0,2.0516,IGNITION,2.03644009,2.01348936,False,-27.00065669,-1.3246,STOP LOSS,9725.65664528
37,SOLUSDT,2026-04-22 03:00:00,2026-04-22 17:00:00,87.46371,87.55110811,86.43482445,87.59490556,27.7991199,0.0,2431.41416132,0.2941,100.0,2.2556,ADAPTIVE_BREAKOUT,2.43141416,2.43384375,False,-2.43566731,-0.1001,STOP LOSS,9723.22097797
38,LINKUSDT,2026-04-26 15:00:00,2026-04-27 01:30:00,9.48474,9.49421763,9.39050269,9.49896711,256.28591237,0.0,2430.80524449,0.2484,100.0,2.039,IGNITION,2.43080524,2.43323423,False,-2.43505733,-0.1001,STOP LOSS,9720.78592064
