symbol,valid_candidates,average_risk_percent,average_reward_risk,top_rejection
BTCUSDT,16,0.730021345554186,1.9288174965073919,reclaim
ETHUSDT,8,1.2091242054158087,1.9012398040597056,reclaim
SOLUSDT,3,1.1332450071264581,2.367390681128712,reclaim
XRPUSDT,3,1.343280649078227,1.9749259126403,reclaim
LINKUSDT,3,1.44846346960012,1.876692417381823,reclaim
DOGEUSDT,2,1.244639844114333,2.500384434535789,reclaim
