window,feature,signals,false_n,runner_n,false_median,runner_median,cliffs_delta_runner_minus_false
2021,volume_ratio,13,4,5,0.9679759237134535,0.8503922543802911,0.1
2021,momentum_24h,13,4,5,6.882168133630085,5.298913043478271,-0.2
2021,momentum_72h,13,4,5,19.009757162362718,9.090909090909104,-0.8
2021,ema20_distance_atr,13,4,5,0.6029810602759877,0.7835106449707796,0.3
2021,ema50_distance_atr,13,4,5,2.2154723741541553,2.331062174052744,0.0
2021,ema200_distance_atr,13,4,5,6.1187676406355935,5.385296326213214,-0.3
2022,volume_ratio,15,4,5,0.5052390558278148,1.210690530190156,0.7
2022,momentum_24h,15,4,5,4.975150423699248,4.446318833594409,0.0
2022,momentum_72h,15,4,5,7.439129431352676,9.5986707566462,0.3
2022,ema20_distance_atr,15,4,5,0.5578045566052598,0.3654507942426493,0.1
2022,ema50_distance_atr,15,4,5,1.883567428337305,2.2129259763020115,0.7
2022,ema200_distance_atr,15,4,5,1.8981734601383038,5.115118697671316,0.8
2023,volume_ratio,20,10,3,0.4434706360715901,0.5507926438623493,0.26666666666666666
2023,momentum_24h,20,10,3,3.4903011128734285,3.983570217759813,0.5333333333333333
2023,momentum_72h,20,10,3,6.111573437064455,8.933815996175131,0.5333333333333333
2023,ema20_distance_atr,20,10,3,0.5572647075156314,0.6329012275221019,0.26666666666666666
2023,ema50_distance_atr,20,10,3,2.053470017972336,2.23309486539418,0.3333333333333333
2023,ema200_distance_atr,20,10,3,4.425364471510595,6.218284310338525,0.4666666666666667
2024,volume_ratio,25,14,5,0.6407914752799002,1.0227235740965446,0.14285714285714285
2024,momentum_24h,25,14,5,3.4542197128043624,4.705882352941182,0.2857142857142857
2024,momentum_72h,25,14,5,10.166344894295609,6.870229007633566,-0.2857142857142857
2024,ema20_distance_atr,25,14,5,0.5920346025192973,0.6841682936635695,0.05714285714285714
2024,ema50_distance_atr,25,14,5,2.20995783137322,2.0770990763210158,-0.14285714285714285
2024,ema200_distance_atr,25,14,5,5.632443038879167,3.679934387078269,-0.17142857142857143
2025h1,volume_ratio,7,3,1,0.7994223590522936,1.1126493317255677,0.3333333333333333
2025h1,momentum_24h,7,3,1,5.259417199715699,1.1771995043370342,-1.0
2025h1,momentum_72h,7,3,1,7.552650689905604,18.419144307469185,1.0
2025h1,ema20_distance_atr,7,3,1,0.9516506245919776,0.8442622936539156,-0.3333333333333333
2025h1,ema50_distance_atr,7,3,1,1.7651360220263206,2.3519887392055554,1.0
2025h1,ema200_distance_atr,7,3,1,2.5894027493342686,6.080161879829461,1.0
ALL,volume_ratio,80,35,19,0.6062477656209609,0.9558806021732724,0.28421052631578947
ALL,momentum_24h,80,35,19,4.164913756836364,4.446318833594409,0.11278195488721804
ALL,momentum_72h,80,35,19,8.185660265440786,9.090909090909104,0.04360902255639098
ALL,ema20_distance_atr,80,35,19,0.5694676464582056,0.764620591607618,0.14887218045112782
ALL,ema50_distance_atr,80,35,19,2.11486830605657,2.23309486539418,0.21203007518796993
ALL,ema200_distance_atr,80,35,19,4.6280223851586015,5.385296326213214,0.21203007518796993
