decision_time,symbol_1,symbol_2,rolling_72h_correlation,high_correlation_above_0_75
2025-08-10 22:00:00,LINKUSDT,SOLUSDT,0.506594,False
2026-01-06 15:00:00,LINKUSDT,SOLUSDT,0.629235,False
