symbol,valid_candidates,selected_entries,completed_trades,winning_trades,win_rate,profit
BTCUSDT,0,0,0,0,0.0,0
ETHUSDT,0,0,0,0,0.0,0
SOLUSDT,2,1,1,1,100.0,57.509057
XRPUSDT,0,0,0,0,0.0,0
LINKUSDT,0,0,0,0,0.0,0
DOGEUSDT,0,0,0,0,0.0,0
