symbol,valid_candidates,selected_entries,completed_trades,winning_trades,win_rate,profit
BTCUSDT,0,0,0,0,0.0,0
ETHUSDT,0,0,0,0,0.0,0
SOLUSDT,7,2,2,0,0.0,-18.80711404
XRPUSDT,0,0,0,0,0.0,0
LINKUSDT,5,2,2,1,50.0,57.38048047
DOGEUSDT,0,0,0,0,0.0,0
