route,trades,winners,losers,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expectancy,total_fees,pre_fee_profit,fees_as_percent_of_absolute_net,average_hold_hours,median_hold_hours,partial_profit_trades,stop_loss_exits,longest_losing_streak,edge_label
PULLBACK,4,1,3,25.0,-56.406759640000004,4.66786495,61.07462459,0.07642887666253931,-14.101689910000001,21.898711600000002,-34.508048040000006,38.82284984949013,10.9375,8.375,0,4,2,REJECT
IGNITION,25,10,15,40.0,-58.66612098,200.10191814,258.76803912,0.7732868356559505,-2.3466448392,124.87871643,66.21259545,212.86342840456877,9.6,6.75,10,24,5,WATCH
ADAPTIVE_BREAKOUT,21,3,18,14.285714285714285,-253.45469070000001,84.56110226,338.01579296,0.25016908683319056,-12.069270985714287,97.63984801000001,-155.81484269,38.52359083997809,4.0476190476190474,2.75,3,21,10,REJECT
