decision_time,symbol,route,valid,score,failed_checks
2026-05-01 00:00:00,BTCUSDT,IGNITION,False,59.0,market_state|base_structure|adx|volume
2026-05-01 00:00:00,BTCUSDT,ADAPTIVE_BREAKOUT,False,34.0,market_state|trend_structure|breakout|momentum|adx|volume
2026-05-01 00:00:00,ETHUSDT,IGNITION,False,37.0,market_state|base_structure|reclaim|acceleration|volume
2026-05-01 00:00:00,ETHUSDT,ADAPTIVE_BREAKOUT,False,36.0,market_state|trend_structure|breakout|momentum|volume|rsi
2026-05-01 00:00:00,SOLUSDT,IGNITION,False,37.0,market_state|base_structure|reclaim|acceleration|volume
2026-05-01 00:00:00,SOLUSDT,ADAPTIVE_BREAKOUT,False,36.0,market_state|trend_structure|breakout|momentum|volume|rsi
2026-05-01 00:00:00,XRPUSDT,IGNITION,False,33.0,market_state|base_structure|reclaim|acceleration|volume|relative_strength
2026-05-01 00:00:00,XRPUSDT,ADAPTIVE_BREAKOUT,False,32.0,market_state|trend_structure|breakout|momentum|volume|rsi|relative_strength
2026-05-01 00:00:00,LINKUSDT,IGNITION,False,27.0,market_state|base_structure|reclaim|acceleration|adx|volume|relative_strength
2026-05-01 00:00:00,LINKUSDT,ADAPTIVE_BREAKOUT,False,26.0,market_state|trend_structure|breakout|momentum|adx|volume|rsi|relative_strength
2026-05-01 00:00:00,DOGEUSDT,IGNITION,False,80.0,market_state|volume
2026-05-01 00:00:00,DOGEUSDT,ADAPTIVE_BREAKOUT,False,65.0,market_state|breakout|volume
2026-05-01 01:00:00,BTCUSDT,IGNITION,False,56.0,market_state|base_structure|reclaim
2026-05-01 01:00:00,BTCUSDT,ADAPTIVE_BREAKOUT,False,36.0,market_state|trend_structure|breakout|momentum|candle_quality
2026-05-01 01:00:00,ETHUSDT,IGNITION,False,31.0,market_state|base_structure|reclaim|acceleration|adx|volume
2026-05-01 01:00:00,ETHUSDT,ADAPTIVE_BREAKOUT,False,20.0,market_state|trend_structure|breakout|momentum|candle_quality|adx|volume|rsi
2026-05-01 01:00:00,SOLUSDT,IGNITION,False,42.0,market_state|base_structure|reclaim|acceleration|relative_strength
2026-05-01 01:00:00,SOLUSDT,ADAPTIVE_BREAKOUT,False,32.0,market_state|trend_structure|breakout|momentum|candle_quality|relative_strength
2026-05-01 01:00:00,XRPUSDT,IGNITION,False,38.0,market_state|base_structure|reclaim|acceleration|relative_strength
2026-05-01 01:00:00,XRPUSDT,ADAPTIVE_BREAKOUT,False,22.0,market_state|trend_structure|breakout|momentum|candle_quality|adx|rsi|relative_strength
2026-05-01 01:00:00,LINKUSDT,IGNITION,False,36.0,market_state|base_structure|reclaim|acceleration|adx
2026-05-01 01:00:00,LINKUSDT,ADAPTIVE_BREAKOUT,False,26.0,market_state|trend_structure|breakout|momentum|candle_quality|adx|rsi
2026-05-01 01:00:00,DOGEUSDT,IGNITION,False,89.0,market_state
2026-05-01 01:00:00,DOGEUSDT,ADAPTIVE_BREAKOUT,False,79.0,market_state|momentum
2026-05-01 02:00:00,BTCUSDT,IGNITION,False,74.0,market_state|base_structure
2026-05-01 02:00:00,BTCUSDT,ADAPTIVE_BREAKOUT,False,69.0,market_state|trend_structure|momentum
2026-05-01 02:00:00,ETHUSDT,IGNITION,False,63.0,market_state|base_structure|adx|volume
2026-05-01 02:00:00,ETHUSDT,ADAPTIVE_BREAKOUT,False,34.0,market_state|trend_structure|breakout|momentum|adx|volume
2026-05-01 02:00:00,SOLUSDT,IGNITION,False,74.0,market_state|base_structure
2026-05-01 02:00:00,SOLUSDT,ADAPTIVE_BREAKOUT,False,64.0,market_state|trend_structure|momentum
2026-05-01 02:00:00,XRPUSDT,IGNITION,False,54.0,market_state|base_structure|acceleration|adx|relative_strength
