signal_first_true_time,signal_evaluated_time,order_fill_time,signal_first_true_to_fill_hours,signal_evaluation_to_fill_minutes,symbol,route,quality_episode_id,emission_number_in_same_episode,stale_same_episode_retrigger,selection_rank,selection_score,raw_signal_close,raw_next_candle_open,slipped_entry_price,opening_gap_atr,theoretical_rr_at_signal_close,actual_rr_after_gap_and_slippage,estimated_round_trip_cost_percent,gross_projected_target_move_percent,cost_as_percent_of_projected_target_move,actual_trade_entered,entry_or_reject_reason,decision_time,market_state,relative_strength_percentile,setup_score,selection_score_signal,candidate_emitted_after_route_cooldown,entry_time,exit_time,profit,exit_reason,buy_fee,sell_fees,partial_profit_taken,target_move_to_round_trip_cost_multiple,winner,loser,holding_hours,stop_type_exit,month
2025-08-07 08:00:00,2025-08-07 08:00:00,2025-08-07 08:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,1,1,False,1,100.0,169.99,169.99,170.074995,0.060068,2.4,2.20734,0.3,1.946747,15.4103,True,EXECUTED,2025-08-07 08:00:00,BULL,100.0,100.0,100.0,True,2025-08-07 08:00:00,2025-08-07 14:30:00,7.5672838,STOP LOSS,2.5,2.51257986,True,6.489156666666667,True,False,6.5,True,2025-08
2025-08-10 09:00:00,2025-08-10 09:00:00,2025-08-10 09:00:00,0.0,0.0,LINKUSDT,IGNITION,1,1,False,1,100.0,22.03,22.04,22.05102,0.041734,2.2,2.114985,0.3,7.588628,3.9533,True,EXECUTED,2025-08-10 09:00:00,STRONG_BULL,100.0,100.0,100.0,True,2025-08-10 09:00:00,2025-08-10 14:00:00,-32.06912979,STOP LOSS,0.83674614,0.80632008,False,25.295426666666668,False,True,5.0,True,2025-08
2025-08-10 22:00:00,2025-08-10 22:00:00,2025-08-10 22:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,3,1,False,1,85.0,183.49,183.5,183.59175,0.052811,2.4,2.22945,0.3,2.463239,12.1791,True,EXECUTED,2025-08-10 22:00:00,STRONG_BULL,66.6667,100.0,85.0,True,2025-08-10 22:00:00,2025-08-11 01:00:00,-33.74604727,STOP LOSS,2.49387454,2.46508745,False,8.210796666666667,False,True,3.0,True,2025-08
2025-08-13 09:00:00,2025-08-13 09:00:00,2025-08-13 09:00:00,0.0,0.0,LINKUSDT,IGNITION,3,1,False,1,100.0,23.5,23.5,23.51175,0.025693,2.2,2.111183,0.3,3.801304,7.892,True,EXECUTED,2025-08-13 09:00:00,STRONG_BULL,66.6667,95.0,100.0,True,2025-08-13 09:00:00,2025-08-13 12:15:00,12.6106866,STOP LOSS,1.65644653,1.67238605,True,12.671013333333335,True,False,3.25,True,2025-08
2025-09-08 10:00:00,2025-09-08 10:00:00,2025-09-08 10:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,4,1,False,1,100.0,210.87,210.87,210.975435,0.06767,2.4,2.252495,0.3,2.594701,11.562,True,EXECUTED,2025-09-08 10:00:00,BULL,83.3333,100.0,100.0,True,2025-09-08 10:00:00,2025-09-09 02:15:00,17.91380394,STOP LOSS,1.94434061,1.96616492,True,8.649003333333335,True,False,16.25,True,2025-09
2025-09-09 04:00:00,2025-09-09 04:00:00,2025-09-09 04:00:00,0.0,0.0,LINKUSDT,IGNITION,4,1,False,1,100.0,23.18,23.18,23.19159,0.048878,2.2,2.102719,0.3,3.45666,8.6789,True,EXECUTED,2025-09-09 04:00:00,BULL,83.3333,95.0,100.0,True,2025-09-09 04:00:00,2025-09-09 14:45:00,-0.67726022,STOP LOSS,1.36490171,1.36695631,False,11.5222,False,True,10.75,True,2025-09
2025-09-11 11:00:00,2025-09-11 11:00:00,2025-09-11 11:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,6,1,False,1,100.0,225.75,225.74,225.85287,0.057025,2.4,2.216576,0.3,1.871405,16.0307,True,EXECUTED,2025-09-11 11:00:00,STRONG_BULL,83.3333,100.0,100.0,True,2025-09-11 11:00:00,2025-09-11 12:45:00,6.52191744,MARKET SEVERE SHOCK,2.49289983,2.50441907,False,6.238016666666667,True,False,1.75,False,2025-09
2025-09-18 17:00:00,2025-09-18 17:00:00,2025-09-18 17:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,11,1,False,1,100.0,249.83,249.82,249.94491,0.050504,2.4,2.236542,0.3,2.138773,14.0267,True,EXECUTED,2025-09-18 17:00:00,STRONG_BULL,100.0,100.0,100.0,True,2025-09-18 17:00:00,2025-09-18 18:15:00,-2.49889387,STOP LOSS,2.49453031,2.49702297,False,7.129243333333334,False,True,1.25,True,2025-09
2025-09-19 05:00:00,2025-09-19 05:00:00,2025-09-19 05:00:00,0.0,0.0,LINKUSDT,IGNITION,6,1,False,1,100.0,24.66,24.66,24.67233,0.049152,2.2,2.069567,0.3,2.537439,11.8229,True,EXECUTED,2025-09-19 05:00:00,BULL,100.0,100.0,100.0,True,2025-09-19 05:00:00,2025-09-19 07:15:00,-26.98721529,STOP LOSS,1.83065472,1.80730547,False,8.45813,False,True,2.25,True,2025-09
2025-09-29 21:00:00,2025-09-29 21:00:00,2025-09-29 21:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,12,1,False,1,100.0,214.42,214.41,214.517205,0.04306,2.4,2.260647,0.3,2.499314,12.0033,True,EXECUTED,2025-09-29 21:00:00,BULL,83.3333,100.0,100.0,True,2025-09-29 21:00:00,2025-09-30 00:30:00,-27.41156868,STOP LOSS,2.02468696,2.00130138,False,8.331046666666667,False,True,3.5,True,2025-09
