symbol,selected_candles,selected_percent,average_capital_when_selected
SOLUSDT,422,22.269129287598943,31.824644549763033
ETHUSDT,316,16.6754617414248,26.265822784810126
BTCUSDT,304,16.042216358839053,26.842105263157894
LINKUSDT,301,15.883905013192612,25.980066445182725
XRPUSDT,232,12.242744063324539,28.79310344827586
DOGEUSDT,88,4.643799472295514,34.09090909090909
