symbol,valid_candidates,selected_entries,completed_trades,winning_trades,win_rate,profit
BTCUSDT,0,0,0,0,0.0,0
ETHUSDT,11,3,3,2,66.6667,92.72953517
SOLUSDT,38,24,24,7,29.1667,-66.40825402
XRPUSDT,0,0,0,0,0.0,0
LINKUSDT,27,14,14,2,14.2857,-214.96259142
DOGEUSDT,0,0,0,0,0.0,0
