symbol,valid_candidates,selected_entries,completed_trades,winning_trades,win_rate,profit
BTCUSDT,0,0,0,0,0.0,0
ETHUSDT,0,0,0,0,0.0,0
SOLUSDT,24,8,8,2,25.0,-73.42328845
XRPUSDT,0,0,0,0,0.0,0
LINKUSDT,35,23,23,7,30.4348,-217.5120364
DOGEUSDT,0,0,0,0,0.0,0
