symbol,interval,candle_limit,starting_capital,final_balance,total_profit,roi_percent,completed_trades,winning_trades,losing_trades,break_even_trades,win_rate,maximum_drawdown,gross_profit,gross_loss,profit_factor,average_win,average_loss,payoff_ratio,expectancy,largest_win,largest_loss,total_fees,stop_loss_exits,take_profit_exits,atr_trailing_exits,strategy_sell_exits,profit_extension_exits,end_of_backtest_exits,other_exits,final_mode,final_reason,csv_file
BTCUSDT,1h,1000,10000.0,10039.417825939025,39.417825939024624,0.39417825939024626,17,9,8,0,52.94117647058824,3.4989724026377296,531.52634076,492.10851483,1.0800998656640133,59.05848230666667,-61.51356435375,0.9600887694791228,2.318695642941176,233.07036971,-112.34755,169.89942336000001,1,1,10,4,0,1,0,ACTIVE,ENGINE INITIALIZED,logs/backtests/btcusdt_trade_history.csv
ETHUSDT,1h,1000,10000.0,9831.161782671783,-168.83821732821707,-1.6883821732821707,19,8,11,0,42.10526315789473,4.157342994923208,602.07166019,770.90987751,0.7809883849648691,75.25895752375,-70.08271613727273,1.073859029326695,-8.886221964210524,234.58404218,-112.34755,188.85474958999998,5,2,10,1,0,1,0,ACTIVE,ENGINE INITIALIZED,logs/backtests/ethusdt_trade_history.csv
SOLUSDT,1h,1000,10000.0,9739.705247746664,-260.2947522533359,-2.6029475225333587,23,8,15,0,34.78260869565217,8.45304465914514,965.21601232,1225.51076458,0.7876030470044817,120.65200154,-81.70071763866666,1.4767557131334033,-11.31716314173913,237.127625,-112.34755,229.11966737,10,3,9,0,0,1,0,ACTIVE,ENGINE INITIALIZED,logs/backtests/solusdt_trade_history.csv
XRPUSDT,1h,1000,10000.0,10403.15430499968,403.1543049996799,4.031543049996799,14,8,6,0,57.14285714285714,2.812699290821651,880.46248543,477.30818044,1.8446415157149785,110.05781067875,-79.55136340666667,1.3834811367862339,28.796736070714285,237.127625,-112.34755,140.54369799,4,3,5,0,1,1,0,ACTIVE,NEW DAY RESET,logs/backtests/xrpusdt_trade_history.csv
LINKUSDT,1h,1000,10000.0,9923.904596959808,-76.09540304019174,-0.7609540304019174,22,10,12,0,45.45454545454545,6.156744709112312,944.60566827,1020.70107131,0.925447905190952,94.46056682700001,-85.05842260916667,1.1105374862291424,-3.4588819563636353,235.29004234,-112.34755,217.90286062,7,2,10,1,1,1,0,ACTIVE,NEW DAY RESET,logs/backtests/linkusdt_trade_history.csv
DOGEUSDT,1h,1000,10000.0,9409.279616105789,-590.7203838942114,-5.907203838942114,17,6,11,0,35.294117647058826,5.95833042208932,397.35911433,988.07949821,0.4021529796436965,66.226519055,-89.82540892818182,0.7372804626801103,-34.748257875294115,224.23442433,-112.34755,163.36882038,8,1,8,0,0,0,0,ACTIVE,NEW DAY RESET,logs/backtests/dogeusdt_trade_history.csv
