window,symbol,route,entry_time,exit_time,exit_reason,profit,realized_r,strict_mfe_r,strict_mae_r,strict_mfe_percent,strict_mae_percent,reached_0_5r,reached_1r,reached_2r,partial_profit_taken,bars_before_exit
2022,LINKUSDT,IGNITION,2022-05-05 13:00:00,2022-05-05 14:00:00,STOP LOSS,-31.86936008,-1.423975718831908,0.0,1.6246683502539396,0.0,2.38408735582167,False,False,False,False,4
2022,LINKUSDT,IGNITION,2022-05-31 11:00:00,2022-05-31 13:45:00,MARKET SEVERE SHOCK,-43.14409937,-1.9339460428253776,0.8263507595877031,2.2379315634676984,1.163992902334255,3.1523374614986768,True,False,False,False,11
2022,SOLUSDT,ADAPTIVE_BREAKOUT,2022-07-07 14:00:00,2022-07-08 02:30:00,STOP LOSS,19.01002943,0.8558538768811598,3.225073222594383,0.41301923298320126,5.3613320728171,0.6865993754714982,True,True,True,True,50
2022,LINKUSDT,IGNITION,2022-07-09 17:00:00,2022-07-09 19:15:00,STOP LOSS,-0.92828009,-0.04171193632132931,1.493205954865046,0.04531647895993477,1.6467075104423023,0.049975012493751726,True,True,False,False,9
2022,LINKUSDT,IGNITION,2022-07-17 12:00:00,2022-07-17 13:00:00,STOP LOSS,-26.75867433,-1.202504417676783,0.14645805563620887,1.0394371317015194,0.17944356054566327,1.273540735370644,False,False,False,False,4
2022,LINKUSDT,IGNITION,2022-07-19 03:00:00,2022-07-19 04:15:00,STOP LOSS,-32.91656879,-1.1124347197740543,0.6541786752540278,1.1385957080824647,1.2144792806446865,2.113796962213964,True,False,False,False,5
2022,LINKUSDT,IGNITION,2022-07-20 10:00:00,2022-07-20 14:15:00,STOP LOSS,-33.070126,-1.1213666853191728,0.7679887587782133,1.1168260145465059,1.562340694909434,2.271989936982162,True,False,False,False,17
2022,LINKUSDT,IGNITION,2022-07-22 15:00:00,2022-07-22 15:30:00,MARKET SEVERE SHOCK,-35.42057485,-1.205121557015095,0.046596616347585836,1.2149268385272425,0.08989348035189677,2.3438182951625217,False,False,False,False,2
2022,LINKUSDT,IGNITION,2022-07-30 09:00:00,2022-07-30 10:15:00,MARKET SEVERE SHOCK,-17.8058712,-0.8106814050844017,0.5412692748597004,0.9505101291227203,1.1585336261486157,2.0344734085801743,True,False,False,False,5
2022,SOLUSDT,ADAPTIVE_BREAKOUT,2022-08-05 12:00:00,2022-08-05 12:45:00,MARKET SEVERE SHOCK,-25.71658432,-1.1729868585631236,0.4380288903231081,1.2000363767493956,0.7299325221563817,1.9997438491190818,False,False,False,False,3
2022,LINKUSDT,IGNITION,2022-08-11 01:00:00,2022-08-11 08:00:00,STOP LOSS,-33.10471384,-1.1354778875654592,0.7004534748560592,1.2424602316241915,1.2781551240632798,2.2671840007955564,True,False,False,False,28
2022,SOLUSDT,ADAPTIVE_BREAKOUT,2022-08-12 19:00:00,2022-08-13 11:45:00,STOP LOSS,81.5301776,3.741346100449607,7.659268199799574,0.06850209943217375,10.704720899623462,0.09573967594957225,True,True,True,True,67
2022,LINKUSDT,IGNITION,2022-09-11 07:00:00,2022-09-11 13:15:00,STOP LOSS,8.40024504,0.38226177393627503,2.7936783674451844,0.16065674332360644,3.28632623882774,0.18898756463214822,True,True,True,True,25
2022,LINKUSDT,IGNITION,2022-09-12 08:00:00,2022-09-12 14:45:00,STOP LOSS,-24.63715702,-1.1201756505965914,0.5867393364561968,1.2464618611868623,1.2053038390031674,2.560532715487566,True,False,False,False,27
2022,SOLUSDT,ADAPTIVE_BREAKOUT,2022-09-13 03:00:00,2022-09-13 12:45:00,MARKET SEVERE SHOCK,-57.30132624,-2.611897776211134,1.640360835227858,2.9117924106440456,2.8501839821318464,5.059340548665271,True,True,False,False,39
2022,SOLUSDT,ADAPTIVE_BREAKOUT,2022-10-04 08:00:00,2022-10-04 09:00:00,STOP LOSS,-27.78162575,-1.2738225460255737,0.4345569221586881,1.0016172300163275,0.39451071973649376,0.9093140948055529,False,False,False,False,4
2022,LINKUSDT,IGNITION,2022-10-05 14:00:00,2022-10-06 07:00:00,STOP LOSS,-1.15940729,-0.05331308808059855,1.1297814869463356,0.669789298315191,2.1228516176694243,1.2585294695075933,True,True,False,False,68
2022,LINKUSDT,IGNITION,2022-10-18 04:00:00,2022-10-18 08:15:00,STOP LOSS,-23.2584128,-1.069621080616861,0.2183988196549714,1.1264727980672897,0.25128550945789596,1.2960980805665128,False,False,False,False,17
2022,LINKUSDT,IGNITION,2022-10-30 17:00:00,2022-10-30 22:15:00,STOP LOSS,27.76658544,1.2800261463374443,2.8013550935193927,0.2953430880526308,4.0834446896284105,0.4305120644351554,True,True,True,True,21
2022,LINKUSDT,IGNITION,2022-11-04 13:00:00,2022-11-05 09:30:00,STOP LOSS,42.40334949,1.4618700976805419,2.9118329280086037,0.5314127931564674,7.86840994069466,1.4359936877093753,True,True,True,True,82
2022,LINKUSDT,IGNITION,2022-12-01 12:00:00,2022-12-01 14:00:00,STOP LOSS,-2.08413594,-0.09538342828383226,1.4022057741748475,1.409126947557053,1.472644258080256,1.4799131100763052,True,True,False,False,8
2023,LINKUSDT,IGNITION,2023-01-04 16:00:00,2023-01-04 19:30:00,STOP LOSS,-27.08687255,-1.203861029510121,0.5946499796149066,1.0016878800661406,0.7237650742837769,1.219182254735346,True,False,False,False,14
2023,LINKUSDT,IGNITION,2023-01-08 20:00:00,2023-01-08 22:00:00,STOP LOSS,-2.49758956,-0.13701276288905553,1.1985220734139839,0.20911643000353872,0.876282298185046,0.15289249145806777,True,True,False,False,8
2023,LINKUSDT,IGNITION,2023-01-18 08:00:00,2023-01-18 08:30:00,STOP LOSS,-36.05096951,-1.2052646800815814,0.0,1.692788271971999,0.0,2.046352534477764,False,False,False,False,2
