symbol,valid_candidates,selected_entries,completed_trades,winning_trades,win_rate,profit
BTCUSDT,0,0,0,0,0.0,0
ETHUSDT,37,18,18,5,27.7778,-321.24861333
SOLUSDT,24,12,12,3,25.0,-53.02655963
XRPUSDT,0,0,0,0,0.0,0
LINKUSDT,26,19,19,5,26.3158,20.95563574
DOGEUSDT,0,0,0,0,0.0,0
