window,symbol,route,entry_time,strict_mfe_r,strict_mae_r,realized_r,profit,mfe_class,setup_score,entry_reward_risk,account_risk_percent,relative_strength_pct,momentum_24h,momentum_72h,ema50_slope_12h,rsi14,adx14,atr_percent,volume_ratio,ema20_distance_atr,ema50_distance_atr,ema200_distance_atr,recent_high_72h_distance_atr,candle_range_atr,candle_body_atr,upper_wick_atr,lower_wick_atr,close_location,trend_stable_6,trend_stable_4_of_6,market_state,market_score,btc_score,eth_score,breadth_score,market_risk_multiplier,asset_shock_level,asset_shock_score
2025h1,LINKUSDT,IGNITION,2025-01-02 17:00:00,0.8735221771823196,1.0373222691472106,-1.1731131760656577,-26.39504682,MIDDLE_0.5-2R,95.0,2.1885,0.225,83.33333333333334,7.7815369743837515,10.17786561264824,2.7197879772906663,59.819010451674686,53.42624045050501,1.5848808453375982,0.6238635566790338,0.6204167632805273,2.3122743223963624,1.3760050605148526,-1.7259505766731187,0.9902995112058927,0.2546484457386567,0.36782553273361296,0.367825532733623,0.6285714285714329,0,0,BULL,76.565,72.9,61.2,100.0,0.75,NORMAL,5.0
2025h1,SOLUSDT,ADAPTIVE_BREAKOUT,2025-01-03 12:00:00,1.726817340131805,0.8421302168516637,0.2024588313728799,6.05773321,MIDDLE_0.5-2R,100.0,2.2677,0.3,100.0,2.8775598292647864,10.691986170597033,1.63014745374217,78.33363643645693,46.150337138749336,1.037750354620501,2.9588237708226113,2.7785237971787327,4.761128187576811,7.910755786037384,0.7007839796217906,1.8777416889865932,1.5228574941781137,0.3009777348375707,0.05390645997090894,0.8397129186602835,1,1,STRONG_BULL,83.56888888888889,85.8,59.4,94.44444444444444,1.0,NORMAL,20.0
2025h1,LINKUSDT,IGNITION,2025-01-06 02:00:00,1.2776038039740238,0.0939998187684402,-0.0532072600887357,-1.59297151,MIDDLE_0.5-2R,100.0,2.1151,0.3,100.0,1.3304721030042765,6.73598553345387,0.3980207526155466,56.29406605840165,9.465052487216244,1.3313090456945869,1.5803516161828548,0.7273449315632606,1.1629915871442358,3.3443166532882307,-1.3998380897511093,2.13157163666645,1.399838089751098,0.2227015142785858,0.509032032636766,0.8955223880597007,1,1,STRONG_BULL,91.39166666666667,93.5,93.0,83.33333333333334,1.0,NORMAL,10.0
2025h1,SOLUSDT,ADAPTIVE_BREAKOUT,2025-01-06 14:00:00,0.0442958990685668,1.035615153788813,-1.2657486626799572,-29.5306109,FALSE_<0.5R,100.0,2.2183,0.2338,83.33333333333334,2.874076861564512,2.7146346045463066,0.33661479361428714,67.57259947518088,17.544041281197043,0.8284673361282847,2.074343096921312,1.8843618579765757,2.2750641165636076,6.671168308436237,-0.6236691617196262,1.6667972286665818,1.0431280669469558,0.06071115733554507,0.5629580043840811,0.963576158940393,1,1,STRONG_BULL,95.93888888888888,96.2,96.8,94.44444444444444,1.0,NORMAL,0.0
2025h1,SOLUSDT,ADAPTIVE_BREAKOUT,2025-01-17 09:00:00,1.976772363330384,0.6143068879931062,-0.0748879450850636,-2.23507695,MIDDLE_0.5-2R,100.0,2.273,0.3,66.66666666666666,8.302453680520783,15.732020547945202,2.214237282417386,64.13485417021961,29.03668619228043,1.2883330591408824,0.942662328872151,1.7541483876836277,3.903647296592142,7.073684364163696,-0.30864122870458505,1.1268993699214165,1.080244300466063,0.02871081197252452,0.017944257482829098,0.9745222929936267,1,1,STRONG_BULL,91.03,95.8,58.4,100.0,1.0,NORMAL,10.0
2025h1,LINKUSDT,IGNITION,2025-01-18 14:00:00,0.0851881986452755,1.2880022261306516,-1.0765059892344966,-32.12176744,FALSE_<0.5R,100.0,2.1098,0.3,83.33333333333334,2.996254681647925,16.3063909774436,1.1521192903805932,55.34336836855612,25.038031620993483,2.2229460221235597,1.1853001437613084,0.7520740999812638,1.6973124390466579,4.969726068036195,-1.6721826261983386,1.3995441545355691,1.3268405620921582,0.018175898110854315,0.054527694332556484,0.987012987012985,1,1,STRONG_BULL,82.22555555555556,98.0,19.8,77.77777777777779,1.0,NORMAL,0.0
2025h1,LINKUSDT,IGNITION,2025-01-24 04:00:00,2.433285182478452,0.4486318542240096,0.5702481727815745,12.7204747,RUNNER_>=2R,100.0,2.1832,0.225,83.33333333333334,1.6109544905356543,3.1901840490797584,0.23311161044967665,50.72077607485267,23.363200492410016,2.17372392030106,0.9275424478115708,0.08777796358196031,0.025447806239629254,1.6126887469447904,-3.6103021936314765,1.0393294193787588,0.401144688181273,0.36467698925570335,0.27350774194178235,0.6491228070175453,0,0,BULL,69.89611111111111,83.1,31.8,55.55555555555556,0.75,NORMAL,13.0
2025h1,LINKUSDT,IGNITION,2025-01-26 17:00:00,1.535135731685742,0.3191222702194577,0.2652221310423907,5.92387723,MIDDLE_0.5-2R,100.0,2.1082,0.225,100.0,2.5139664804469275,-0.038910505836564635,0.2671792166694553,61.05628931294708,13.354832912608732,1.096967611157125,2.162780807094699,1.1561401074719275,1.2927837358887133,3.0844528798374315,-2.6613583397150684,1.5613302259661779,0.8516346687088289,0.07096955572573364,0.6387260015316154,0.9545454545454557,1,1,BULL,75.88111111111111,90.0,41.8,55.55555555555556,0.75,NORMAL,0.0
2025h1,LINKUSDT,IGNITION,2025-03-20 09:00:00,0.0,1.1770621767667309,-1.13164995105742,-25.29108626,FALSE_<0.5R,95.0,2.1148,0.225,66.66666666666666,5.259417199715699,7.5526506899056045,1.894172289159246,59.61191774016507,37.61948347501087,1.375738661848402,0.5518209232186335,0.9516506245919775,2.323441676567453,3.6839557442961692,-1.7668980847614273,1.1288515541531379,0.8834490423807136,0.0,0.24540251177242434,1.0,1,1,BULL,77.515,72.7,68.4,100.0,0.75,NORMAL,10.0
2025h1,SOLUSDT,ADAPTIVE_BREAKOUT,2025-03-24 01:00:00,0.3123975691978529,1.1318561741676785,-1.2038045264355657,-26.83515621,FALSE_<0.5R,100.0,2.2812,0.225,100.0,4.6446601941747545,5.011691348402159,0.632251746827639,70.64879005184008,23.667487472839262,0.8456739184862628,2.3969687101672155,2.687579174131365,3.5715801402829053,4.353787982926358,0.5880409306491694,2.5979121712262367,1.6500252979409797,0.23697171832132047,0.7109151549639365,0.9087837837837806,1,1,BULL,73.91,69.0,60.4,100.0,0.75,NORMAL,10.0
