symbol,valid_candidates,selected_entries,completed_trades,winning_trades,win_rate,profit
BTCUSDT,97,29,29,8,27.5862,-76.59986313
ETHUSDT,60,26,26,4,15.3846,-28.34536422
SOLUSDT,40,12,12,5,41.6667,69.15111423
XRPUSDT,15,3,3,0,0.0,-66.81146086
LINKUSDT,28,10,10,3,30.0,-103.14770663
DOGEUSDT,5,2,2,1,50.0,-12.72679601
