symbol,feature,window,trades,spearman_mfe,spearman_realized_r
LINKUSDT,adx14,2021,13,-0.4340659340659341,-0.521978021978022
LINKUSDT,adx14,2022,23,-0.3982213438735178,-0.43083003952569177
LINKUSDT,adx14,2023,24,-0.03652173913043478,-0.21913043478260866
LINKUSDT,adx14,2024,40,-0.31853593371121963,-0.16866791744840529
LINKUSDT,adx14,2025h1,16,-0.3,-0.32647058823529407
LINKUSDT,ema50_slope_12h,2021,13,-0.48901098901098894,-0.15934065934065936
LINKUSDT,ema50_slope_12h,2022,23,-0.3300395256916996,-0.4644268774703557
LINKUSDT,ema50_slope_12h,2023,24,-0.657391304347826,-0.6365217391304347
LINKUSDT,ema50_slope_12h,2024,40,-0.20825905624784807,-0.05046904315196998
LINKUSDT,ema50_slope_12h,2025h1,16,-0.6970588235294117,-0.6735294117647058
LINKUSDT,momentum_72h,2021,13,-0.41208791208791207,0.20329670329670327
LINKUSDT,momentum_72h,2022,23,0.06424512180315695,-0.08846059079050073
LINKUSDT,momentum_72h,2023,24,-0.14782608695652172,0.014782608695652172
LINKUSDT,momentum_72h,2024,40,-0.15579541837378447,0.006378986866791747
LINKUSDT,momentum_72h,2025h1,16,-0.3735294117647059,-0.2911764705882353
LINKUSDT,ema50_distance_atr,2021,13,-0.2857142857142857,0.19230769230769232
LINKUSDT,ema50_distance_atr,2022,23,-0.08794466403162056,-0.17786561264822134
LINKUSDT,ema50_distance_atr,2023,24,-0.2078260869565217,-0.11913043478260868
LINKUSDT,ema50_distance_atr,2024,40,0.02731112454624776,0.175046904315197
LINKUSDT,ema50_distance_atr,2025h1,16,-0.5676470588235295,-0.3558823529411765
LINKUSDT,volume_ratio,2021,13,0.027472527472527472,0.40659340659340654
LINKUSDT,volume_ratio,2022,23,0.49703557312252966,0.4841897233201581
LINKUSDT,volume_ratio,2023,24,0.1417391304347826,0.2643478260869565
LINKUSDT,volume_ratio,2024,40,0.12369780808231803,0.18236397748592875
LINKUSDT,volume_ratio,2025h1,16,0.27058823529411763,0.34411764705882353
LINKUSDT,rsi14,2021,13,0.049450549450549455,0.23076923076923078
LINKUSDT,rsi14,2022,23,-0.0958498023715415,-0.11956521739130435
LINKUSDT,rsi14,2023,24,0.02695652173913043,0.01826086956521739
LINKUSDT,rsi14,2024,40,-0.03416236884822744,0.03358348968105066
LINKUSDT,rsi14,2025h1,16,-0.15588235294117647,-0.03823529411764706
LINKUSDT,candle_range_atr,2021,13,-0.054945054945054944,0.32967032967032966
LINKUSDT,candle_range_atr,2022,23,0.4436758893280633,0.4911067193675889
LINKUSDT,candle_range_atr,2023,24,0.13999999999999999,0.17391304347826084
LINKUSDT,candle_range_atr,2024,40,-0.014359457235656039,0.04821763602251408
LINKUSDT,candle_range_atr,2025h1,16,0.08529411764705883,0.35000000000000003
SOLUSDT,adx14,2022,8,-0.261904761904762,-0.2142857142857143
SOLUSDT,adx14,2024,34,0.15019098548510312,0.061879297173414824
SOLUSDT,adx14,2025h1,22,-0.41276115189158674,-0.32467532467532473
SOLUSDT,ema50_slope_12h,2022,8,0.07142857142857144,-0.4523809523809524
SOLUSDT,ema50_slope_12h,2024,34,0.09671504965622613,0.014209320091673033
SOLUSDT,ema50_slope_12h,2025h1,22,0.007340485601355168,0.07848673066064371
SOLUSDT,momentum_72h,2022,8,0.11904761904761905,0.5714285714285715
SOLUSDT,momentum_72h,2024,34,0.10282658517952635,0.13032849503437738
SOLUSDT,momentum_72h,2025h1,22,-0.16883116883116886,-0.11688311688311688
SOLUSDT,ema50_distance_atr,2022,8,-0.30952380952380953,-0.5000000000000001
SOLUSDT,ema50_distance_atr,2024,34,0.07532467532467532,0.06493506493506493
SOLUSDT,ema50_distance_atr,2025h1,22,-0.3574251835121401,-0.2523997741389046
SOLUSDT,volume_ratio,2022,8,-0.5476190476190477,0.3571428571428572
SOLUSDT,volume_ratio,2024,34,0.04385026737967914,0.023071046600458365
SOLUSDT,volume_ratio,2025h1,22,-0.479390175042349,-0.497459062676454
SOLUSDT,rsi14,2022,8,-0.2142857142857143,-0.38095238095238104
SOLUSDT,rsi14,2024,34,0.0007639419404125285,0.07593582887700534
SOLUSDT,rsi14,2025h1,22,-0.2896668548842462,-0.25578769057029926
SOLUSDT,candle_range_atr,2022,8,0.14285714285714288,0.2142857142857143
SOLUSDT,candle_range_atr,2024,34,-0.10282658517952635,-0.13491214667685256
SOLUSDT,candle_range_atr,2025h1,22,-0.313382269904009,-0.2930547713156409
