symbol,valid_candidates,selected_entries,completed_trades,winning_trades,win_rate,profit
BTCUSDT,64,21,21,7,33.3333,-198.80258262
ETHUSDT,42,14,14,1,7.1429,-213.19867056
SOLUSDT,28,7,7,2,28.5714,-21.66822858
XRPUSDT,11,2,2,1,50.0,-4.19392773
LINKUSDT,22,6,6,3,50.0,69.33583817
DOGEUSDT,2,0,0,0,0.0,0
