symbol,valid_candidates,selected_entries,completed_trades,winning_trades,win_rate,profit
BTCUSDT,0,0,0,0,0.0,0
ETHUSDT,55,24,24,9,37.5,-57.06560428
SOLUSDT,4,0,0,0,0.0,0
XRPUSDT,0,0,0,0,0.0,0
LINKUSDT,18,13,13,3,23.0769,-181.89597833
DOGEUSDT,0,0,0,0,0.0,0
