symbol,interval,candle_limit,starting_capital,final_balance,total_profit,roi_percent,completed_trades,winning_trades,losing_trades,win_rate,maximum_drawdown,final_mode,final_reason,csv_file
BTCUSDT,1h,1000,10000.0,10150.1684219849,150.1684219848994,1.501684219848994,11,7,4,63.63636363636363,2.3982082378030447,ACTIVE,ENGINE INITIALIZED,logs/backtests/btcusdt_trade_history.csv
ETHUSDT,1h,1000,10000.0,9838.690188928242,-161.3098110717583,-1.613098110717583,16,6,10,37.5,4.1517943871704635,ACTIVE,ENGINE INITIALIZED,logs/backtests/ethusdt_trade_history.csv
SOLUSDT,1h,1000,10000.0,9552.568031578154,-447.43196842184625,-4.474319684218463,15,4,11,26.666666666666668,5.62842398010252,ACTIVE,ENGINE INITIALIZED,logs/backtests/solusdt_trade_history.csv
XRPUSDT,1h,1000,10000.0,10058.274335786688,58.274335786687516,0.5827433578668751,9,4,5,44.44444444444444,2.905144894258007,ACTIVE,ENGINE INITIALIZED,logs/backtests/xrpusdt_trade_history.csv
LINKUSDT,1h,1000,10000.0,10071.07903483233,71.07903483232985,0.7107903483232986,13,7,6,53.84615384615385,2.2956995504808586,ACTIVE,NEW DAY RESET,logs/backtests/linkusdt_trade_history.csv
DOGEUSDT,1h,1000,10000.0,9956.239850549839,-43.76014945016141,-0.4376014945016141,9,4,5,44.44444444444444,3.0744254033146365,ACTIVE,ENGINE INITIALIZED,logs/backtests/dogeusdt_trade_history.csv
