symbol,selected_candles,selected_percent,average_capital_when_selected
SOLUSDT,425,22.98539751216874,34.188235294117646
LINKUSDT,351,18.983234180638185,26.210826210826212
ETHUSDT,328,17.739318550567877,26.49390243902439
BTCUSDT,189,10.221741481882098,28.14814814814815
XRPUSDT,151,8.166576527852893,27.68211920529801
DOGEUSDT,94,5.083829096809086,33.723404255319146
