period,symbol,route,winner,trades,median_RSI14,median_ADX14,median_VOLUME_RATIO,median_MOMENTUM_24H,median_MOMENTUM_72H,median_EMA50_SLOPE_12H,median_ema20_extension_percent,median_ema200_distance_percent,median_daily_momentum_20d,median_daily_ema20_slope_3d,macro_bull_percent,strict_macro_percent
DEVELOPMENT,LINKUSDT,IGNITION,False,12,60.11961506574167,27.172368758511176,1.1083938649133291,2.402949073863392,5.796109840923047,0.8152501306078475,0.7928071373286121,2.7567299020703686,6.873675578153183,0.4418921937593301,16.666666666666664,16.666666666666664
DEVELOPMENT,LINKUSDT,IGNITION,True,2,55.84868512538583,26.76259855474198,1.4146866877164164,5.434898337773076,5.440414597747168,1.7751229951344594,0.5899601071161042,9.899050303896699,16.715017365816056,3.895455361343003,50.0,50.0
DEVELOPMENT,SOLUSDT,ADAPTIVE_BREAKOUT,False,17,66.56035161844969,23.8486759271357,1.237906309900972,3.6746929697321296,5.147615442846343,0.7403786634749165,1.9153588753102684,4.468078592427985,2.0215155455727496,0.09325478920525487,5.88235294117647,5.88235294117647
DEVELOPMENT,SOLUSDT,ADAPTIVE_BREAKOUT,True,7,65.06299188760607,21.12889836781694,1.4180740747770306,3.1164069660861493,4.269152916641117,0.7516786759205196,1.4334033668680422,3.481154124599169,-0.15807301467821722,0.31239434953191925,28.57142857142857,28.57142857142857
VALIDATION,LINKUSDT,IGNITION,False,2,59.356325178106346,27.903032040308403,0.7522221076029669,2.080580076705174,7.4515266445089665,1.1140161115955283,0.7424340385942317,5.799744662979368,11.54050548108345,1.3598260677060714,50.0,50.0
VALIDATION,LINKUSDT,IGNITION,True,3,61.60491488698887,31.03411541587348,0.7349412691630777,3.767619549466472,2.711496746203901,1.0317416744168861,1.1210925410442527,2.6206943434120804,-1.7581857561472791,-0.34710104968400657,0.0,0.0
VALIDATION,SOLUSDT,ADAPTIVE_BREAKOUT,False,2,71.32118321148164,22.98746074055758,2.0880475225359962,4.2529861225919285,7.851885673463665,1.0855709695762772,2.225511405876615,7.253899662479114,9.619769575346371,1.991294619828854,100.0,50.0
VALIDATION,SOLUSDT,ADAPTIVE_BREAKOUT,True,1,75.68838055375087,40.80160293615262,1.5604710080654676,5.457746478873249,7.620901332534791,1.8863199877831471,2.117293399475713,5.630240530571073,-16.931965570097862,-1.5001404214212144,0.0,0.0
