month,trades,wins,losses,win_rate_percent,net_pnl_eur,gross_profit_eur,gross_loss_eur,profit_factor,average_trade_eur,average_win_eur,average_loss_eur,explicit_fees_eur
2025-08,4,2,2,50.0,-45.63720666,20.1779704,65.81517706,0.30658537,-11.40930166,10.0889852,32.90758853,14.94344065
2025-09,6,2,4,33.3333,-33.13921668,24.43572138,57.57493806,0.42441594,-5.52320278,12.21786069,14.39373452,24.29518426
2025-10,4,2,2,50.0,88.29859347,151.39184492,63.09325145,2.39949347,22.07464837,75.69592246,31.54662572,18.90900823
2025-12,2,0,2,0.0,-35.62518705,0.0,35.62518705,0.0,-17.81259353,0.0,17.81259353,5.88689048
2026-01,6,2,4,33.3333,-20.05499898,25.1064093,45.16140828,0.55592618,-3.34249983,12.55320465,11.29035207,25.01213266
2026-02,1,0,1,0.0,-25.61774201,0.0,25.61774201,0.0,-25.61774201,0.0,25.61774201,2.58162927
2026-03,9,1,8,11.1111,-117.50965164,33.35905525,150.86870689,0.22111315,-13.05662796,33.35905525,18.85858836,37.1546366
2026-04,6,0,6,0.0,-89.92866983,0.0,89.92866983,0.0,-14.98811164,0.0,14.98811164,27.55626928
