decision_time,symbol,valid,score,entry_price,stop_price,risk_percent,estimated_reward_percent,reward_risk,market_state,asset_shock,reasons
2026-05-01 01:00:00,BTCUSDT,False,41.0,76458.05,75662.53625,1.0404578066011338,1.8923841243662243,1.8187994864953536,BEAR,NORMAL,healthy EMA20 pullback
2026-05-01 01:00:00,ETHUSDT,False,36.0,2260.0,2230.5736771661245,1.302049682914844,3.847345132743355,2.9548374253511316,BEAR,NORMAL,healthy EMA20 pullback | estimated R:R 2.95
2026-05-01 01:00:00,SOLUSDT,False,57.0,83.2,82.1938512539946,1.2093133966411156,2.836538461538461,2.3455776388626677,BEAR,NORMAL,healthy EMA20 pullback | bullish EMA20 reclaim | estimated R:R 2.35
2026-05-01 01:00:00,XRPUSDT,False,41.0,1.3693,1.3534959466574588,1.1541702579815383,2.7313225735777475,2.366481508849829,BEAR,NORMAL,healthy EMA20 pullback | estimated R:R 2.37
2026-05-01 01:00:00,LINKUSDT,False,41.0,9.11,8.990222993955713,1.314786015853853,3.4028540065861748,2.5881428350728855,BEAR,NORMAL,healthy EMA20 pullback | estimated R:R 2.59
2026-05-01 01:00:00,DOGEUSDT,False,88.0,0.10758,0.10432740764522995,3.023417321779183,4.108570366239086,1.3589160638337963,BEAR,NORMAL,bullish EMA stack | trend stable 6h | healthy EMA20 pullback
2026-05-01 02:00:00,BTCUSDT,False,51.0,76686.13,75713.34095,1.2685332406264427,1.5893356464852095,1.2528923922406199,BEAR,NORMAL,healthy EMA20 pullback
2026-05-01 02:00:00,ETHUSDT,False,52.0,2267.75,2234.5909,1.4622026237459973,3.492448462132061,2.3884846090515173,BEAR,NORMAL,healthy EMA20 pullback | bullish EMA20 reclaim | estimated R:R 2.39
2026-05-01 02:00:00,SOLUSDT,False,33.0,83.61,82.27655,1.594845114220786,2.332256907068536,1.462372042446289,BEAR,NORMAL,healthy EMA20 pullback
2026-05-01 02:00:00,XRPUSDT,False,57.0,1.3714,1.355436236181926,1.1640486960823866,2.5740119585824788,2.2112579716341187,BEAR,NORMAL,healthy EMA20 pullback | bullish EMA20 reclaim | estimated R:R 2.21
2026-05-01 02:00:00,LINKUSDT,False,52.0,9.13,9.012492780101736,1.2870451248440824,3.1763417305585886,2.4679334618849382,BEAR,NORMAL,healthy EMA20 pullback | bullish EMA20 reclaim | estimated R:R 2.47
2026-05-01 02:00:00,DOGEUSDT,False,78.0,0.10903,0.10449044460031898,4.163583783986999,2.724020911675686,0.6542490923689772,BEAR,NORMAL,bullish EMA stack | trend stable 6h
2026-05-01 03:00:00,BTCUSDT,False,46.0,76592.54,75713.34095,1.1478912306603173,1.7134697452258398,1.4927108940802492,BEAR,NORMAL,healthy EMA20 pullback
2026-05-01 03:00:00,ETHUSDT,False,44.0,2266.94,2234.5909,1.4269940977705589,3.529427333762683,2.473330015363642,BEAR,NORMAL,healthy EMA20 pullback | estimated R:R 2.47
2026-05-01 03:00:00,SOLUSDT,False,29.0,83.63,82.27655,1.618378572282668,2.3077842879349597,1.4259854446045392,BEAR,NORMAL,
2026-05-01 03:00:00,XRPUSDT,False,36.0,1.3701,1.3547265050260744,1.122071014811014,2.6713378585504683,2.38072084858229,BEAR,NORMAL,healthy EMA20 pullback | estimated R:R 2.38
2026-05-01 03:00:00,LINKUSDT,False,44.0,9.12,9.004600438665896,1.265346067259899,3.2894736842105345,2.59966326155648,BEAR,NORMAL,healthy EMA20 pullback | estimated R:R 2.60
2026-05-01 03:00:00,DOGEUSDT,False,84.0,0.10841,0.10462289579246334,3.493316306186392,3.311502628908768,0.9479538463334551,BEAR,NORMAL,bullish EMA stack | trend stable 6h
2026-05-01 04:00:00,BTCUSDT,False,47.0,77131.08,75730.44499999999,1.815915192682391,1.0032920581430875,0.5524994020569144,NEUTRAL,NORMAL,healthy EMA20 pullback
2026-05-01 04:00:00,ETHUSDT,False,41.0,2282.87,2240.3619,1.8620464590624966,2.8069929518544607,1.507477398425239,NEUTRAL,NORMAL,healthy EMA20 pullback
2026-05-01 04:00:00,SOLUSDT,False,23.0,83.89,82.3661,1.8165454762188553,1.990702109905831,1.0958724325743185,NEUTRAL,NORMAL,
2026-05-01 04:00:00,XRPUSDT,False,57.0,1.3764,1.355986,1.4831444347573493,2.2013949433304267,1.484275497207787,NEUTRAL,NORMAL,healthy EMA20 pullback | bullish EMA20 reclaim
2026-05-01 04:00:00,LINKUSDT,False,65.0,9.16,9.0346,1.3689956331877822,2.838427947598251,2.0733652312599524,NEUTRAL,NORMAL,healthy EMA20 pullback | bullish EMA20 reclaim | estimated R:R 2.07
2026-05-01 04:00:00,DOGEUSDT,False,78.0,0.1091,0.10477707634962165,3.9623498170287395,2.6581118240146653,0.6708422897420785,NEUTRAL,NORMAL,bullish EMA stack | trend stable 6h
2026-05-01 05:00:00,BTCUSDT,False,51.0,77042.44,75730.44499999999,1.7029509968791354,1.1194998496932218,0.6573881760220002,NEUTRAL,NORMAL,healthy EMA20 pullback
2026-05-01 05:00:00,ETHUSDT,False,24.0,2280.12,2240.3619,1.7436845429187946,2.930986088451482,1.6809153354913815,NEUTRAL,NORMAL,
2026-05-01 05:00:00,SOLUSDT,False,34.0,83.82,82.3661,1.7345502266761994,2.0758768790264965,1.1967810716005371,NEUTRAL,NORMAL,
2026-05-01 05:00:00,XRPUSDT,False,41.0,1.3759,1.355986,1.4473435569445445,2.2385347772367297,1.5466505975695581,NEUTRAL,NORMAL,healthy EMA20 pullback
2026-05-01 05:00:00,LINKUSDT,False,49.0,9.16,9.0346,1.3689956331877822,2.838427947598251,2.0733652312599524,NEUTRAL,NORMAL,healthy EMA20 pullback | estimated R:R 2.07
2026-05-01 05:00:00,DOGEUSDT,False,73.0,0.10885,0.10488295,3.6445107946715662,2.8938906752411575,0.7940409120127047,NEUTRAL,NORMAL,bullish EMA stack | trend stable 6h
2026-05-01 06:00:00,BTCUSDT,False,39.0,77165.98,75730.44499999999,1.8603210896822713,0.957611113083767,0.5147558227420406,NEUTRAL,NORMAL,
2026-05-01 06:00:00,ETHUSDT,False,24.0,2283.26,2240.3619,1.8788092464283674,2.7894326533114753,1.4846811397241155,NEUTRAL,NORMAL,
2026-05-01 06:00:00,SOLUSDT,False,28.0,84.05,82.3661,2.003450327186192,1.7965496728138075,0.8967278341944357,NEUTRAL,NORMAL,
2026-05-01 06:00:00,XRPUSDT,False,36.0,1.3766,1.355986,1.4974575039953606,2.1865465639982578,1.4601726981662861,NEUTRAL,NORMAL,healthy EMA20 pullback
2026-05-01 06:00:00,LINKUSDT,False,44.0,9.16,9.0346,1.3689956331877822,2.838427947598251,2.0733652312599524,NEUTRAL,NORMAL,healthy EMA20 pullback | estimated R:R 2.07
2026-05-01 06:00:00,DOGEUSDT,False,73.0,0.10913,0.10488295,3.8917346284248167,2.629890955740857,0.6757631767933026,NEUTRAL,NORMAL,bullish EMA stack | trend stable 6h
2026-05-01 07:00:00,BTCUSDT,False,45.0,76993.48,75823.378,1.5197416716324539,1.1838015374808324,0.7789491856265505,NEUTRAL,NORMAL,
2026-05-01 07:00:00,ETHUSDT,False,41.0,2277.45,2241.1579,1.593541021756775,3.051658653318405,1.9150173178184962,NEUTRAL,NORMAL,healthy EMA20 pullback
2026-05-01 07:00:00,SOLUSDT,False,29.0,83.85,82.3661,1.7697078115682667,2.0393559928443743,1.1523687580025725,NEUTRAL,NORMAL,
2026-05-01 07:00:00,XRPUSDT,False,44.0,1.3734,1.357578,1.1520314547837485,2.4246395806028915,2.104664391353818,NEUTRAL,NORMAL,healthy EMA20 pullback | estimated R:R 2.10
2026-05-01 07:00:00,LINKUSDT,False,44.0,9.15,9.031153923592688,1.2988642230307328,2.950819672131143,2.271846140504035,NEUTRAL,NORMAL,healthy EMA20 pullback | estimated R:R 2.27
2026-05-01 07:00:00,DOGEUSDT,False,79.0,0.10842,0.10488295,3.262359343294595,3.3019738055709276,1.0121428874344438,NEUTRAL,NORMAL,bullish EMA stack | trend stable 6h
2026-05-01 08:00:00,BTCUSDT,False,44.0,77130.54,75824.9899,1.6926500190456248,1.003999194093545,0.5931522658533008,NEUTRAL,NORMAL,
2026-05-01 08:00:00,ETHUSDT,False,41.0,2279.48,2241.1579,1.681177286047689,2.9598855879411006,1.7606028897163788,NEUTRAL,NORMAL,healthy EMA20 pullback
2026-05-01 08:00:00,SOLUSDT,False,56.0,83.96,82.3661,1.8984040019056587,1.9056693663649462,1.0038270907836238,NEUTRAL,NORMAL,healthy EMA20 pullback
2026-05-01 08:00:00,XRPUSDT,False,44.0,1.3749,1.357578,1.2598734453414837,2.312895483307881,1.835815725666779,NEUTRAL,NORMAL,healthy EMA20 pullback | bullish EMA20 reclaim
2026-05-01 08:00:00,LINKUSDT,False,60.0,9.16,9.0346,1.3689956331877822,2.838427947598251,2.0733652312599524,NEUTRAL,NORMAL,healthy EMA20 pullback | bullish EMA20 reclaim | estimated R:R 2.07
2026-05-01 08:00:00,DOGEUSDT,False,84.0,0.10824,0.10492275,3.0647172949002286,3.473762010347375,1.1334689878664528,NEUTRAL,NORMAL,bullish EMA stack | trend stable 6h
2026-05-01 09:00:00,BTCUSDT,False,40.0,77377.47,75824.9899,2.0063722683101433,0.6816712926902261,0.33975314723840366,NEUTRAL,NORMAL,
2026-05-01 09:00:00,ETHUSDT,False,35.0,2286.92,2241.1579,2.0010363283367987,2.624927850558819,1.3117842057073397,NEUTRAL,NORMAL,healthy EMA20 pullback
