window,cohort,signals,false_pct,middle_pct,runner_pct,median_mfe_r,median_mae_r,reached_1r_pct,reached_2r_pct,stopped_pct,actual_cross_pct
2021,CURRENT_RAW,53,33.9622641509434,35.84905660377358,30.18867924528302,0.8525687800418364,0.7532465554279952,47.16981132075472,30.18867924528302,86.79245283018868,20.754716981132077
2021,FRESH_RAW,13,23.076923076923077,61.53846153846154,15.384615384615385,1.2174523242702842,0.8273811338780591,61.53846153846154,15.384615384615385,76.92307692307693,84.61538461538461
2021,CURRENT_12H,39,30.76923076923077,33.33333333333333,35.8974358974359,1.1993521391040838,0.7126581252843383,53.84615384615385,35.8974358974359,84.61538461538461,20.51282051282051
2021,FRESH_12H,12,25.0,58.333333333333336,16.666666666666664,1.208402231687184,0.8210466819577997,58.333333333333336,16.666666666666664,75.0,83.33333333333334
2022,CURRENT_RAW,45,26.666666666666668,40.0,33.33333333333333,1.142786611227555,0.7656327946691399,53.333333333333336,33.33333333333333,77.77777777777779,13.333333333333334
2022,FRESH_RAW,10,20.0,50.0,30.0,1.2461875775138176,0.4726386462846067,70.0,30.0,70.0,40.0
2022,CURRENT_12H,35,25.71428571428571,40.0,34.285714285714285,1.142786611227555,0.7648593387336394,54.285714285714285,34.285714285714285,77.14285714285715,11.428571428571429
2022,FRESH_12H,10,20.0,50.0,30.0,1.2461875775138176,0.4726386462846067,70.0,30.0,70.0,40.0
2023,CURRENT_RAW,114,42.10526315789473,35.96491228070175,21.929824561403507,0.6266807276034831,0.7677659397757136,36.84210526315789,21.929824561403507,81.57894736842105,15.789473684210526
2023,FRESH_RAW,28,35.714285714285715,39.285714285714285,25.0,0.5953156821025032,0.7838532116569346,39.285714285714285,25.0,67.85714285714286,57.14285714285714
2023,CURRENT_12H,80,40.0,36.25,23.75,0.6620588663330911,0.7666196003308938,38.75,23.75,80.0,21.25
2023,FRESH_12H,26,34.61538461538461,38.46153846153847,26.923076923076923,0.5953156821025032,0.7838532116569346,38.46153846153847,26.923076923076923,65.38461538461539,57.692307692307686
2024,CURRENT_RAW,90,33.33333333333333,33.33333333333333,33.33333333333333,0.820787346668048,0.7958498412190608,45.55555555555556,33.33333333333333,77.77777777777779,18.88888888888889
2024,FRESH_RAW,23,26.08695652173913,30.434782608695656,43.47826086956522,0.9041788294973798,0.7250663990295955,47.82608695652174,43.47826086956522,69.56521739130434,69.56521739130434
2024,CURRENT_12H,66,36.36363636363637,33.33333333333333,30.303030303030305,0.7383710420673372,0.8047132061287502,43.93939393939394,30.303030303030305,80.3030303030303,16.666666666666664
2024,FRESH_12H,20,20.0,30.0,50.0,1.936916787882895,0.7332258643409761,55.00000000000001,50.0,65.0,65.0
2025h1,CURRENT_RAW,47,36.17021276595745,34.04255319148936,29.78723404255319,0.8802662321830089,0.8468633050007703,46.808510638297875,29.78723404255319,80.85106382978722,14.893617021276595
2025h1,FRESH_RAW,12,50.0,25.0,25.0,0.6800536649770387,0.9023576297873672,41.66666666666667,25.0,75.0,58.333333333333336
2025h1,CURRENT_12H,33,42.42424242424242,33.33333333333333,24.242424242424242,0.8802662321830089,0.8509129749299809,45.45454545454545,24.242424242424242,84.84848484848484,21.21212121212121
2025h1,FRESH_12H,12,50.0,25.0,25.0,0.6800536649770387,0.9023576297873672,41.66666666666667,25.0,75.0,58.333333333333336
ALL,CURRENT_RAW,349,35.816618911174785,35.53008595988539,28.653295128939828,0.7880969876095026,0.7809906159478348,44.126074498567334,28.653295128939828,80.80229226361033,16.9054441260745
ALL,FRESH_RAW,86,31.3953488372093,39.53488372093023,29.069767441860467,0.9758970642297569,0.7838532116569346,48.837209302325576,29.069767441860467,70.93023255813954,62.7906976744186
ALL,CURRENT_12H,253,35.96837944664031,35.177865612648226,28.85375494071146,0.8129166083705992,0.780345269593675,45.45454545454545,28.85375494071146,81.02766798418972,18.57707509881423
ALL,FRESH_12H,80,30.0,38.75,31.25,1.0464076466514074,0.7838532116569346,50.0,31.25,68.75,61.25000000000001
