symbol,valid_candidates,selected_entries,completed_trades,winning_trades,win_rate,profit
BTCUSDT,0,0,0,0,0.0,0
ETHUSDT,50,22,22,6,27.2727,-48.42147919
SOLUSDT,4,0,0,0,0.0,0
XRPUSDT,0,0,0,0,0.0,0
LINKUSDT,18,13,13,3,23.0769,-182.14799407
DOGEUSDT,0,0,0,0,0.0,0
