symbol,feature,window,bucket,trades,false_rate_pct,runner_rate_pct,median_mfe_r,avg_realized_r,net_pnl
LINKUSDT,adx14,2021,LOW,4,0.0,50.0,1.544541354781132,0.08873965632200731,5.989915599999998
LINKUSDT,adx14,2021,MID,4,50.0,0.0,0.4423645914500587,-0.8047759301919104,-96.93882674999999
LINKUSDT,adx14,2021,HIGH,5,20.0,20.0,0.6152506081863213,-0.6068093913473451,-91.19908292
LINKUSDT,adx14,2022,LOW,7,0.0,28.57142857142857,1.420025551707521,0.26591973738731883,42.22441013
LINKUSDT,adx14,2022,MID,8,37.5,25.0,0.6435964056561281,-0.5057453997530679,-115.02818773
LINKUSDT,adx14,2022,HIGH,8,25.0,12.5,0.7110837170161206,-0.7764737976046403,-144.7082588
LINKUSDT,adx14,2023,LOW,8,37.5,12.5,0.5286584950863437,-0.5852625531082174,-127.85358879
LINKUSDT,adx14,2023,MID,8,25.0,0.0,0.8165575112035959,-0.4919366674349955,-119.57945497
LINKUSDT,adx14,2023,HIGH,8,50.0,0.0,0.4696709744004578,-0.9637491320421124,-215.14108824
LINKUSDT,adx14,2024,LOW,13,23.076923076923077,46.15384615384615,1.1349521026069926,0.9297718919439983,305.92649224
LINKUSDT,adx14,2024,MID,13,38.46153846153847,30.76923076923077,0.9581265589140064,-0.20015704985009874,-65.31408101
LINKUSDT,adx14,2024,HIGH,14,50.0,7.142857142857142,0.4127948082563607,-0.7493387847195448,-269.31251019
LINKUSDT,adx14,2025h1,LOW,5,40.0,20.0,1.2776038039740238,-0.21274467670442587,-34.23979491
LINKUSDT,adx14,2025h1,MID,5,40.0,0.0,0.961507699033686,-0.8591915035939248,-116.72047740000001
LINKUSDT,adx14,2025h1,HIGH,6,33.33333333333333,16.666666666666664,0.7818332911937632,-0.6796928913658092,-104.89102541000001
LINKUSDT,ema50_slope_12h,2021,LOW,4,25.0,50.0,2.2055867809535594,0.010957759788115418,-3.1103963599999975
LINKUSDT,ema50_slope_12h,2021,MID,4,0.0,25.0,0.6486650787010666,-0.620523814320044,-75.79473362000002
LINKUSDT,ema50_slope_12h,2021,HIGH,5,40.0,0.0,0.5647892903393006,-0.6919855668177248,-103.24286408999998
LINKUSDT,ema50_slope_12h,2022,LOW,7,0.0,28.57142857142857,1.420025551707521,0.11952084848549609,19.671389050000005
LINKUSDT,ema50_slope_12h,2022,MID,8,37.5,25.0,1.1430693565911634,-0.25405089255067714,-54.06128325
LINKUSDT,ema50_slope_12h,2022,HIGH,8,25.0,12.5,0.6773160750550435,-0.9000692770179362,-183.1221422
LINKUSDT,ema50_slope_12h,2023,LOW,8,0.0,12.5,1.2896444881242206,-0.08113169613623436,-16.21766707
LINKUSDT,ema50_slope_12h,2023,MID,8,37.5,0.0,0.5427177388722122,-0.9129325843555405,-201.08116768
LINKUSDT,ema50_slope_12h,2023,HIGH,8,75.0,0.0,0.16057839013043396,-1.0468840720935506,-245.27529725
LINKUSDT,ema50_slope_12h,2024,LOW,13,30.76923076923077,38.46153846153847,1.0389694983899276,0.3505953458266972,78.14052192
LINKUSDT,ema50_slope_12h,2024,MID,13,38.46153846153847,30.76923076923077,0.8205040430534911,0.20790373286623667,98.62779098
LINKUSDT,ema50_slope_12h,2024,HIGH,14,42.857142857142854,14.285714285714285,0.5397802744147266,-0.5904455758472192,-205.46841186
LINKUSDT,ema50_slope_12h,2025h1,LOW,5,0.0,20.0,1.2776038039740238,0.009433040994125275,-4.298799699999998
LINKUSDT,ema50_slope_12h,2025h1,MID,5,40.0,20.0,0.9929728031407524,-0.516503170931817,-66.98933247000001
LINKUSDT,ema50_slope_12h,2025h1,HIGH,6,66.66666666666666,0.0,0.1647276782088009,-1.150414599999692,-184.56316555
LINKUSDT,momentum_72h,2021,LOW,4,0.0,50.0,2.222668969592416,-0.05165226314317409,-11.099996979999998
LINKUSDT,momentum_72h,2021,MID,4,25.0,25.0,0.6063522311386993,-0.5992441078170754,-72.02584753
LINKUSDT,momentum_72h,2021,HIGH,5,40.0,0.0,0.5041699810534472,-0.6589213136750681,-99.02214955999999
LINKUSDT,momentum_72h,2022,LOW,7,28.57142857142857,14.285714285714285,1.0589789053876368,-0.4401267473944647,-84.85107347
LINKUSDT,momentum_72h,2022,MID,8,37.5,25.0,0.9151174809011975,-0.23747410176934092,-40.53139256000001
LINKUSDT,momentum_72h,2022,HIGH,8,0.0,25.0,0.991353992911847,-0.4269544214043066,-92.12957037000001
LINKUSDT,momentum_72h,2023,LOW,8,37.5,12.5,0.5286584950863437,-0.6562840607477394,-146.65587427999998
LINKUSDT,momentum_72h,2023,MID,8,50.0,0.0,0.4993696978727748,-0.7804457165595419,-175.08617055
LINKUSDT,momentum_72h,2023,HIGH,8,25.0,0.0,0.6326539918356655,-0.6042185752780438,-140.83208717000002
LINKUSDT,momentum_72h,2024,LOW,13,46.15384615384615,38.46153846153847,0.5209251421422528,0.551741877008562,170.58248312
LINKUSDT,momentum_72h,2024,MID,13,30.76923076923077,38.46153846153847,0.8205040430534911,0.021492123915152546,5.173395410000026
LINKUSDT,momentum_72h,2024,HIGH,14,35.714285714285715,7.142857142857142,0.6834135518586367,-0.6041280036329443,-204.45597749000004
LINKUSDT,momentum_72h,2025h1,LOW,5,40.0,40.0,1.535135731685742,-0.10013789598557384,-21.51181174
LINKUSDT,momentum_72h,2025h1,MID,5,40.0,0.0,0.961507699033686,-0.8490651086242593,-115.44617918
LINKUSDT,momentum_72h,2025h1,HIGH,6,33.33333333333333,0.0,0.7818332911937632,-0.781970537772907,-118.8933068
LINKUSDT,ema50_distance_atr,2021,LOW,4,25.0,25.0,0.6486650787010666,-0.7267612216973758,-93.13909641
LINKUSDT,ema50_distance_atr,2021,MID,4,0.0,25.0,0.7196388363710112,-0.10913769732292447,-13.04850596
LINKUSDT,ema50_distance_atr,2021,HIGH,5,40.0,20.0,0.5647892903393006,-0.5109192752270275,-75.96039169999999
