period,route,symbol,trades,win_rate,net_profit,profit_factor,hit_0_5r_before_stop_percent,hit_1r_before_stop_percent,hit_1_5r_before_stop_percent,hit_2r_before_stop_percent,hit_3r_before_stop_percent,stop_before_0_5r_percent,one_r_breakeven_trap_percent,future_2r_after_exit_percent,median_current_mfe_r,median_forward_48h_mfe_r,median_forward_48h_mae_r,median_realized_r,median_hold_hours
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,24,29.166666666666668,-65.98612444,0.7745976906897879,70.83333333333334,58.333333333333336,41.66666666666667,29.166666666666668,20.833333333333336,29.166666666666668,45.83333333333333,29.166666666666668,1.473582820012933,2.722671037845801,3.3285489399095702,-0.10660291033158292,3.125
DEVELOPMENT,IGNITION,LINKUSDT,14,14.285714285714285,-213.22795494,0.11500484884831844,50.0,35.714285714285715,28.57142857142857,21.428571428571427,14.285714285714285,50.0,28.57142857142857,14.285714285714285,0.41802065713269043,1.0027079327785073,3.2040602020197286,-0.8207019857208477,4.125
VALIDATION,IGNITION,LINKUSDT,5,60.0,56.0465535,1.990263814238889,80.0,60.0,60.0,40.0,40.0,20.0,20.0,20.0,0.9791481812947123,3.387849632118339,0.9878831961792929,0.033962946692131395,12.5
VALIDATION,ADAPTIVE_BREAKOUT,SOLUSDT,3,33.33333333333333,38.92377475,3.069630389182241,100.0,100.0,66.66666666666666,66.66666666666666,33.33333333333333,0.0,33.33333333333333,33.33333333333333,1.2572095731932476,2.769226795830354,0.9491661882831767,-0.07760163757076109,11.5
COMBINED,ADAPTIVE_BREAKOUT,SOLUSDT,27,29.629629629629626,-27.062349689999998,0.9131379023716726,74.07407407407408,62.96296296296296,44.44444444444444,33.33333333333333,22.22222222222222,25.925925925925924,44.44444444444444,29.629629629629626,1.455612656148613,2.7334555889590035,3.327327666901095,-0.10475421578444138,3.5
COMBINED,IGNITION,LINKUSDT,19,26.31578947368421,-157.18140144,0.4717203475599114,57.89473684210527,42.10526315789473,36.84210526315789,26.31578947368421,21.052631578947366,42.10526315789473,26.31578947368421,15.789473684210526,0.6335750404979478,1.332182956408333,2.803502176945903,-0.7226106422623284,6.25
