symbol,valid_candidates,selected_entries,completed_trades,winning_trades,win_rate,profit
BTCUSDT,0,0,0,0,0.0,0
ETHUSDT,0,0,0,0,0.0,0
SOLUSDT,15,4,4,2,50.0,-40.10876178
XRPUSDT,0,0,0,0,0.0,0
LINKUSDT,34,24,24,2,8.3333,-462.574132
DOGEUSDT,0,0,0,0,0.0,0
