window,cohort,signals,false_pct,runner_pct,median_mfe_r,median_mae_r,reached_1r_pct,reached_2r_pct,stopped_pct
2021,CURRENT_12H,39,30.76923076923077,35.8974358974359,1.1993521391040838,0.7126581252843383,53.84615384615385,35.8974358974359,84.61538461538461
2021,V3JF_12H,35,34.285714285714285,34.285714285714285,0.9540991775090094,0.7126581252843383,48.57142857142857,34.285714285714285,82.85714285714286
2021,BASELINE_SELECTED_REJECTED,6,33.33333333333333,33.33333333333333,0.9029333972710849,0.7630364341194406,50.0,33.33333333333333,100.0
2021,HEALTHY_STALE_HOT,8,25.0,37.5,0.8264209710654228,0.7041109599670592,37.5,37.5,75.0
2022,CURRENT_12H,35,25.71428571428571,34.285714285714285,1.142786611227555,0.7648593387336394,54.285714285714285,34.285714285714285,77.14285714285715
2022,V3JF_12H,28,21.428571428571427,35.714285714285715,1.2461875775138176,0.6665476314127907,60.71428571428571,35.714285714285715,78.57142857142857
2022,BASELINE_SELECTED_REJECTED,9,44.44444444444444,22.22222222222222,0.7880969876095026,0.8352201450704805,33.33333333333333,22.22222222222222,77.77777777777779
2022,HEALTHY_STALE_HOT,7,14.285714285714285,42.857142857142854,1.0755894497535816,0.7742880816344678,57.14285714285714,42.857142857142854,85.71428571428571
2023,CURRENT_12H,80,40.0,23.75,0.6620588663330911,0.7666196003308938,38.75,23.75,80.0
2023,V3JF_12H,68,38.23529411764706,23.52941176470588,0.6620588663330911,0.7111335814087154,38.23529411764706,23.52941176470588,79.41176470588235
2023,BASELINE_SELECTED_REJECTED,14,57.14285714285714,14.285714285714285,0.26186400466124377,0.8743097735769563,28.57142857142857,14.285714285714285,92.85714285714286
2023,HEALTHY_STALE_HOT,9,44.44444444444444,11.11111111111111,0.68533046777341,0.7902909898648355,22.22222222222222,11.11111111111111,100.0
2024,CURRENT_12H,66,36.36363636363637,30.303030303030305,0.7383710420673372,0.8047132061287502,43.93939393939394,30.303030303030305,80.3030303030303
2024,V3JF_12H,51,27.450980392156865,37.254901960784316,1.047083137443734,0.8056203395356559,54.90196078431373,37.254901960784316,74.50980392156863
2024,BASELINE_SELECTED_REJECTED,15,66.66666666666666,6.666666666666667,0.1625152893858415,0.8324892001893524,6.666666666666667,6.666666666666667,100.0
2024,HEALTHY_STALE_HOT,11,45.45454545454545,36.36363636363637,0.8286580849654966,0.7718805651896757,45.45454545454545,36.36363636363637,72.72727272727273
2025h1,CURRENT_12H,33,42.42424242424242,24.242424242424242,0.8802662321830089,0.8509129749299809,45.45454545454545,24.242424242424242,84.84848484848484
2025h1,V3JF_12H,29,44.827586206896555,27.586206896551722,0.9505607322044912,0.8579219787097923,48.275862068965516,27.586206896551722,82.75862068965517
2025h1,BASELINE_SELECTED_REJECTED,6,50.0,0.0,0.54501108216659,0.8950028483127166,16.666666666666664,0.0,100.0
2025h1,HEALTHY_STALE_HOT,1,0.0,100.0,3.258730860977632,0.1429267921481335,100.0,100.0,0.0
ALL,CURRENT_12H,253,35.96837944664031,28.85375494071146,0.8129166083705992,0.780345269593675,45.45454545454545,28.85375494071146,81.02766798418972
ALL,V3JF_12H,211,33.649289099526065,30.80568720379147,0.9540991775090094,0.7656327946691399,48.34123222748815,30.80568720379147,79.14691943127961
ALL,BASELINE_SELECTED_REJECTED,50,54.0,14.000000000000002,0.36990629082787696,0.8338546726299164,24.0,14.000000000000002,94.0
ALL,HEALTHY_STALE_HOT,36,33.33333333333333,33.33333333333333,0.765654016214609,0.7629885882977927,41.66666666666667,33.33333333333333,80.55555555555556
