symbol,valid_candidates,selected_entries,completed_trades,winning_trades,win_rate,profit
BTCUSDT,0,0,0,0,0.0,0
ETHUSDT,0,0,0,0,0.0,0
SOLUSDT,38,24,24,7,29.1667,-65.98612444
XRPUSDT,0,0,0,0,0.0,0
LINKUSDT,27,14,14,2,14.2857,-213.22795494
DOGEUSDT,0,0,0,0,0.0,0
