trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade,period,risk_per_unit,initial_risk_eur,realized_r,hold_hours,current_mfe_r,current_mae_r,forward_48h_mfe_r,forward_48h_mae_r,post_exit_additional_mfe_r,0_5r_target_time,0_5r_stop_time,0_5r_first_outcome,hit_0_5r_before_stop_48h,1r_target_time,1r_stop_time,1r_first_outcome,hit_1r_before_stop_48h,1_5r_target_time,1_5r_stop_time,1_5r_first_outcome,hit_1_5r_before_stop_48h,2r_target_time,2r_stop_time,2r_first_outcome,hit_2r_before_stop_48h,3r_target_time,3r_stop_time,3r_first_outcome,hit_3r_before_stop_48h,stop_before_0_5r_48h,hit_1r_then_revisit_entry,current_exit_before_2r,future_reached_2r_after_exit,path_classification
11,SOLUSDT,2025-10-01 13:00:00,2025-10-03 02:00:00,218.619255,230.61808518,216.03771298,230.73345191,11.34532223,2.83633056,2480.30589417,0.2952,100.0,2.2429,ADAPTIVE_BREAKOUT,2.48030589,2.59673069,True,111.34776224,4.4848,STOP LOSS,10032.57133891,DEVELOPMENT,2.5815420200000005,29.288426067185114,3.8017666768633407,37.0,6.3414598225288605,0.4955390964350857,6.3414598225288605,0.4955390964350857,2.472132845623791,2025-10-01 13:45:00,,TARGET_FIRST,True,2025-10-02 00:00:00,,TARGET_FIRST,True,2025-10-02 00:00:00,,TARGET_FIRST,True,2025-10-02 02:45:00,,TARGET_FIRST,True,2025-10-02 05:30:00,,TARGET_FIRST,True,False,False,False,False,REACHED_2R
12,SOLUSDT,2025-10-03 16:00:00,2025-10-03 17:15:00,234.907395,232.08468831,232.20078871,232.20078871,10.67715571,0.0,2508.14283473,0.2881,100.0,2.2525,ADAPTIVE_BREAKOUT,2.50814283,2.47800436,False,-35.124626,-1.399,STOP LOSS,9997.44671291,DEVELOPMENT,2.7066062899999963,28.898856803995375,-1.215433061530098,1.25,0.7731471724319368,2.4301262523113416,0.8544297737518352,4.004052986960298,1.2618428112793658,2025-10-03 16:15:00,2025-10-03 17:15:00,TARGET_FIRST,True,,2025-10-03 17:15:00,STOP_FIRST,False,,2025-10-03 17:15:00,STOP_FIRST,False,,2025-10-03 17:15:00,STOP_FIRST,False,,2025-10-03 17:15:00,STOP_FIRST,False,False,False,True,False,REACHED_0_5R_NOT_1R
13,SOLUSDT,2025-10-26 10:00:00,2025-10-27 08:30:00,196.05798,199.97283096,194.09332838,200.07286739,11.44948799,2.862372,2244.76348791,0.225,100.0,2.2304,ADAPTIVE_BREAKOUT,2.24476349,2.28934168,True,40.04408268,1.7821,STOP LOSS,10037.49079558,DEVELOPMENT,1.9646516199999837,22.494255127723857,1.7801915401344508,22.5,4.719421960418663,0.874445109001054,4.719421960418663,0.874445109001054,1.668066239652207,2025-10-26 11:45:00,,TARGET_FIRST,True,2025-10-26 12:15:00,,TARGET_FIRST,True,2025-10-26 13:45:00,,TARGET_FIRST,True,2025-10-26 22:15:00,,TARGET_FIRST,True,2025-10-26 22:15:00,,TARGET_FIRST,True,False,False,False,False,REACHED_2R
14,SOLUSDT,2025-10-28 09:00:00,2025-10-28 10:15:00,203.52171,201.30059064,201.40129129,201.40129129,10.65089369,0.0,2167.68809661,0.225,100.0,2.2369,ADAPTIVE_BREAKOUT,2.1676881,2.14403119,False,-27.96862545,-1.289,STOP LOSS,10009.52217014,DEVELOPMENT,2.120418710000024,22.584354258497196,-1.2384071348631547,1.25,0.12652689713343268,1.2364114632812204,0.12652689713343268,6.67401675586981,0.8155980476139006,,2025-10-28 10:15:00,STOP_FIRST,False,,2025-10-28 10:15:00,STOP_FIRST,False,,2025-10-28 10:15:00,STOP_FIRST,False,,2025-10-28 10:15:00,STOP_FIRST,False,,2025-10-28 10:15:00,STOP_FIRST,False,True,False,True,False,FAILED_BEFORE_0_5R
15,SOLUSDT,2025-12-08 10:00:00,2025-12-08 15:15:00,138.20907,135.94529201,136.01329866,136.01329866,10.25672596,0.0,1417.57255553,0.225,100.0,2.293,ADAPTIVE_BREAKOUT,1.41757256,1.40038514,False,-20.00537384,-1.4098,STOP LOSS,9989.5167963,DEVELOPMENT,2.195771339999993,22.52142490520192,-0.888281888211222,5.25,0.5241574926467618,1.0652611942735348,3.0608515001384573,3.0007997098641486,0.4029144446342999,2025-12-08 11:00:00,2025-12-08 15:15:00,TARGET_FIRST,True,2025-12-09 16:15:00,2025-12-08 15:15:00,STOP_FIRST,False,2025-12-09 16:30:00,2025-12-08 15:15:00,STOP_FIRST,False,2025-12-09 16:45:00,2025-12-08 15:15:00,STOP_FIRST,False,2025-12-09 17:15:00,2025-12-08 15:15:00,STOP_FIRST,False,False,False,True,True,REACHED_0_5R_NOT_1R
16,SOLUSDT,2025-12-12 06:00:00,2025-12-12 15:15:00,138.979455,137.84732859,136.95201631,137.91628673,11.08611219,0.0,1540.74182995,0.225,100.0,2.2668,ADAPTIVE_BREAKOUT,1.54074183,1.52819095,False,-15.61981321,-1.0128,STOP LOSS,9973.89698309,DEVELOPMENT,2.0274386899999968,22.476412775686594,-0.6949424432575121,9.25,0.5625546190992364,1.0305885008044404,0.5625546190992364,4.2563333937363215,-0.14665232121025495,2025-12-12 06:15:00,2025-12-12 15:15:00,TARGET_FIRST,True,,2025-12-12 15:15:00,STOP_FIRST,False,,2025-12-12 15:15:00,STOP_FIRST,False,,2025-12-12 15:15:00,STOP_FIRST,False,,2025-12-12 15:15:00,STOP_FIRST,False,False,False,True,False,REACHED_0_5R_NOT_1R
17,SOLUSDT,2026-01-03 22:00:00,2026-01-04 19:15:00,132.936435,133.22309713,131.66589139,133.289742,17.66272957,4.41568239,2348.02030157,0.225,100.0,2.2222,ADAPTIVE_BREAKOUT,2.3480203,2.36273925,True,10.00818846,0.4258,STOP LOSS,9983.90517155,DEVELOPMENT,1.2705436099999758,22.44126819032112,0.4459724991975504,21.25,2.049174053931177,0.2726667524619576,5.457164118908242,0.2726667524619576,3.562965359370917,2026-01-03 22:45:00,,TARGET_FIRST,True,2026-01-04 00:15:00,,TARGET_FIRST,True,2026-01-04 00:15:00,,TARGET_FIRST,True,2026-01-04 16:15:00,,TARGET_FIRST,True,2026-01-05 01:45:00,,TARGET_FIRST,True,False,False,False,False,REACHED_2R
18,LINKUSDT,2026-01-05 15:00:00,2026-01-06 00:45:00,13.62681,13.66017984,13.4386492,13.66701334,159.1814821,39.79537053,2169.13581212,0.3,98.0,2.0842,IGNITION,2.16913581,2.18859176,True,15.09822084,0.6954,STOP LOSS,9999.00339239,DEVELOPMENT,0.18816080000000035,29.95171501712174,0.5040853530881013,9.75,2.674255211499946,0.5145067410427742,3.258861569466107,1.099113099008935,3.0815141092087166,2026-01-05 15:45:00,2026-01-07 14:45:00,TARGET_FIRST,True,2026-01-05 19:00:00,2026-01-07 14:45:00,TARGET_FIRST,True,2026-01-05 20:30:00,2026-01-07 14:45:00,TARGET_FIRST,True,2026-01-05 20:45:00,2026-01-07 14:45:00,TARGET_FIRST,True,2026-01-06 14:30:00,2026-01-07 14:45:00,TARGET_FIRST,True,False,False,False,False,REACHED_2R
19,LINKUSDT,2026-01-06 15:00:00,2026-01-06 16:30:00,14.10705,13.783105,13.74451713,13.74451713,82.74287119,0.0,1167.25782105,0.3,100.0,2.1378,IGNITION,1.16725782,1.14789682,False,-21.67615907,-1.8552,MARKET SEVERE SHOCK,9977.32723332,DEVELOPMENT,0.362532869999999,29.997010564550934,-0.7226106422623284,1.5,0.2839742503900458,0.9297088013012463,0.2839742503900458,2.9709030246002324,0.791362725261299,,2026-01-06 16:45:00,STOP_FIRST,False,,2026-01-06 16:45:00,STOP_FIRST,False,,2026-01-06 16:45:00,STOP_FIRST,False,,2026-01-06 16:45:00,STOP_FIRST,False,,2026-01-06 16:45:00,STOP_FIRST,False,True,False,True,False,FAILED_BEFORE_0_5R
20,SOLUSDT,2026-01-12 03:00:00,2026-01-12 03:45:00,142.49121,142.63359434,141.179879,142.70494681,17.11923709,0.0,2439.34080692,0.225,100.0,2.2154,ADAPTIVE_BREAKOUT,2.43934081,2.44177832,False,-2.44360782,-0.1001,STOP LOSS,9974.8836255,DEVELOPMENT,1.3113309999999956,22.448986292466714,-0.10885158858242121,0.75,1.455612656148613,0.07718112360648016,4.765227086067541,3.562189866631703,1.2936517629797635,2026-01-12 03:15:00,2026-01-12 08:15:00,TARGET_FIRST,True,2026-01-12 03:15:00,2026-01-12 08:15:00,TARGET_FIRST,True,2026-01-13 16:45:00,2026-01-12 08:15:00,STOP_FIRST,False,2026-01-13 22:15:00,2026-01-12 08:15:00,STOP_FIRST,False,2026-01-13 22:15:00,2026-01-12 08:15:00,STOP_FIRST,False,False,True,True,True,ONE_R_BREAKEVEN_TRAP
