trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade,period,risk_per_unit,initial_risk_eur,realized_r,hold_hours,current_mfe_r,current_mae_r,forward_48h_mfe_r,forward_48h_mae_r,post_exit_additional_mfe_r,0_5r_target_time,0_5r_stop_time,0_5r_first_outcome,hit_0_5r_before_stop_48h,1r_target_time,1r_stop_time,1r_first_outcome,hit_1r_before_stop_48h,1_5r_target_time,1_5r_stop_time,1_5r_first_outcome,hit_1_5r_before_stop_48h,2r_target_time,2r_stop_time,2r_first_outcome,hit_2r_before_stop_48h,3r_target_time,3r_stop_time,3r_first_outcome,hit_3r_before_stop_48h,stop_before_0_5r_48h,hit_1r_then_revisit_entry,current_exit_before_2r,future_reached_2r_after_exit,path_classification
31,SOLUSDT,2026-03-24 08:00:00,2026-03-24 13:45:00,91.755855,90.72553987,90.77092533,90.77092533,22.53840192,0.0,2068.0303389,0.225,100.0,2.2762,ADAPTIVE_BREAKOUT,2.06803034,2.04480868,False,-27.33449558,-1.3204,STOP LOSS,9838.7725109,DEVELOPMENT,0.9849296699999996,22.198740765392955,-1.2313534298582154,5.75,0.4712468454727353,1.9350163347196183,1.7403729953632148,3.3868966501943194,2.7864528946518528,2026-03-25 05:15:00,2026-03-24 13:45:00,STOP_FIRST,False,2026-03-25 05:15:00,2026-03-24 13:45:00,STOP_FIRST,False,2026-03-25 11:30:00,2026-03-24 13:45:00,STOP_FIRST,False,,2026-03-24 13:45:00,STOP_FIRST,False,,2026-03-24 13:45:00,STOP_FIRST,False,True,True,True,False,ONE_R_BREAKEVEN_TRAP
32,LINKUSDT,2026-03-25 20:00:00,2026-03-26 02:45:00,9.354675,9.26310398,9.26773785,9.26773785,254.63495354,0.0,2382.02723396,0.225,95.0,2.0279,IGNITION,2.38202723,2.35871005,False,-28.05792043,-1.1767,STOP LOSS,9810.71459047,DEVELOPMENT,0.08693715000000068,22.137237151150185,-1.2674535778075717,6.75,0.521353644558163,1.4340819776125497,0.521353644558163,10.061003840130404,0.19434752577004052,2026-03-25 22:45:00,2026-03-26 02:45:00,TARGET_FIRST,True,,2026-03-26 02:45:00,STOP_FIRST,False,,2026-03-26 02:45:00,STOP_FIRST,False,,2026-03-26 02:45:00,STOP_FIRST,False,,2026-03-26 02:45:00,STOP_FIRST,False,False,False,True,False,REACHED_0_5R_NOT_1R
33,SOLUSDT,2026-04-09 18:00:00,2026-04-09 18:30:00,84.692325,83.72767496,83.76955974,83.76955974,23.92169365,0.0,2025.98385323,0.225,100.0,2.2441,ADAPTIVE_BREAKOUT,2.02598385,2.00290779,False,-27.10495435,-1.3365,STOP LOSS,9783.60963612,DEVELOPMENT,0.9227652599999914,22.074107860582394,-1.2279071263578067,0.5,0.008317391575844723,1.0537078519839456,1.3629414267286328,2.245777002918393,2.408331930484706,2026-04-09 22:30:00,2026-04-09 18:30:00,STOP_FIRST,False,2026-04-09 22:30:00,2026-04-09 18:30:00,STOP_FIRST,False,,2026-04-09 18:30:00,STOP_FIRST,False,,2026-04-09 18:30:00,STOP_FIRST,False,,2026-04-09 18:30:00,STOP_FIRST,False,True,True,True,False,ONE_R_BREAKEVEN_TRAP
34,LINKUSDT,2026-04-10 05:00:00,2026-04-10 08:00:00,8.974485,8.88774116,8.89218726,8.89218726,272.53958406,0.0,2445.90240903,0.2293,95.0,2.0256,IGNITION,2.44590241,2.42226128,False,-28.50929304,-1.1644,STOP LOSS,9755.10034308,DEVELOPMENT,0.08229773999999956,22.429391828677904,-1.2710684827195546,3.0,0.31003281499589824,1.148087420140569,3.7123133636476697,2.7277176748717618,3.5512377375126234,2026-04-10 11:45:00,2026-04-10 08:00:00,STOP_FIRST,False,2026-04-10 14:15:00,2026-04-10 08:00:00,STOP_FIRST,False,2026-04-10 14:30:00,2026-04-10 08:00:00,STOP_FIRST,False,2026-04-10 14:45:00,2026-04-10 08:00:00,STOP_FIRST,False,2026-04-11 18:45:00,2026-04-10 08:00:00,STOP_FIRST,False,True,False,True,True,FAILED_BEFORE_0_5R
35,SOLUSDT,2026-04-10 13:00:00,2026-04-10 16:00:00,84.152055,84.23614394,83.37475661,84.27828308,28.98057672,0.0,2438.77508577,0.2309,100.0,2.216,ADAPTIVE_BREAKOUT,2.43877509,2.44121203,False,-2.44304111,-0.1001,STOP LOSS,9752.65730197,DEVELOPMENT,0.7772983899999986,22.526555625727436,-0.10845160487872448,3.0,1.837061569109897,0.7230878221682692,2.711886486732598,2.9744754778149036,1.8446661905474926,2026-04-10 14:15:00,2026-04-12 01:45:00,TARGET_FIRST,True,2026-04-10 14:30:00,2026-04-12 01:45:00,TARGET_FIRST,True,2026-04-10 15:15:00,2026-04-12 01:45:00,TARGET_FIRST,True,2026-04-11 18:45:00,2026-04-12 01:45:00,TARGET_FIRST,True,,2026-04-12 01:45:00,STOP_FIRST,False,False,True,True,True,REACHED_2R
36,LINKUSDT,2026-04-21 16:00:00,2026-04-21 17:15:00,9.42471,9.3184933,9.32315488,9.32315488,216.07456241,0.0,2036.4400891,0.225,100.0,2.0516,IGNITION,2.03644009,2.01348936,False,-27.00065669,-1.3246,STOP LOSS,9725.65664528,DEVELOPMENT,0.10155511999999867,21.943478114494752,-1.2304638557806717,1.25,0.15055863259282692,1.0310656912226617,1.332182956408333,2.803502176945903,2.3780849257034364,2026-04-22 02:30:00,2026-04-21 17:15:00,STOP_FIRST,False,2026-04-22 02:30:00,2026-04-21 17:15:00,STOP_FIRST,False,,2026-04-21 17:15:00,STOP_FIRST,False,,2026-04-21 17:15:00,STOP_FIRST,False,,2026-04-21 17:15:00,STOP_FIRST,False,True,True,True,False,ONE_R_BREAKEVEN_TRAP
37,SOLUSDT,2026-04-22 03:00:00,2026-04-22 17:00:00,87.46371,87.55110811,86.43482445,87.59490556,27.7991199,0.0,2431.41416132,0.2941,100.0,2.2556,ADAPTIVE_BREAKOUT,2.43141416,2.43384375,False,-2.43566731,-0.1001,STOP LOSS,9723.22097797,DEVELOPMENT,1.0288855500000125,28.602112767827794,-0.08515690186144868,14.0,1.8041754012387137,0.4798492893597361,1.8041754012387137,2.899943535993839,0.7959018279535497,2026-04-22 05:30:00,2026-04-23 00:30:00,TARGET_FIRST,True,2026-04-22 09:15:00,2026-04-23 00:30:00,TARGET_FIRST,True,2026-04-22 14:00:00,2026-04-23 00:30:00,TARGET_FIRST,True,,2026-04-23 00:30:00,STOP_FIRST,False,,2026-04-23 00:30:00,STOP_FIRST,False,False,True,True,False,ONE_R_BREAKEVEN_TRAP
38,LINKUSDT,2026-04-26 15:00:00,2026-04-27 01:30:00,9.48474,9.49421763,9.39050269,9.49896711,256.28591237,0.0,2430.80524449,0.2484,100.0,2.039,IGNITION,2.43080524,2.43323423,False,-2.43505733,-0.1001,STOP LOSS,9720.78592064,DEVELOPMENT,0.09423731000000046,24.151694972644645,-0.10082345494831983,10.5,1.1169673667467688,0.686989049241751,1.2230824500402089,3.552096298164691,1.1225105003527742,2026-04-26 19:30:00,2026-04-27 05:30:00,TARGET_FIRST,True,2026-04-27 01:15:00,2026-04-27 05:30:00,TARGET_FIRST,True,,2026-04-27 05:30:00,STOP_FIRST,False,,2026-04-27 05:30:00,STOP_FIRST,False,,2026-04-27 05:30:00,STOP_FIRST,False,False,True,True,False,ONE_R_BREAKEVEN_TRAP
1,LINKUSDT,2026-05-04 18:00:00,2026-05-06 14:00:00,9.474735,9.97967652,9.31810211,9.98466885,191.53066082,47.8826652,1814.7022556,0.3,95.0,2.1033,IGNITION,1.81470226,1.90200175,True,83.58279492,4.6013,STOP LOSS,10083.58279492,VALIDATION,0.1566328900000009,30.000000927846546,2.7860930778311053,44.0,5.013410657238045,0.9878831961792929,5.013410657238045,0.9878831961792929,0.9597184856896911,2026-05-05 05:15:00,,TARGET_FIRST,True,2026-05-05 07:45:00,,TARGET_FIRST,True,2026-05-05 11:45:00,,TARGET_FIRST,True,2026-05-05 12:15:00,,TARGET_FIRST,True,2026-05-06 08:15:00,,TARGET_FIRST,True,False,False,False,False,REACHED_2R
2,LINKUSDT,2026-05-07 07:00:00,2026-05-07 14:45:00,10.06503,9.89921777,9.90416985,9.90416985,141.04215097,0.0,1419.5934808,0.225,100.0,2.0999,IGNITION,1.41959348,1.39620697,False,-26.20231445,-1.8439,STOP LOSS,10057.38048048,VALIDATION,0.16086014999999954,22.68806156135678,-1.154894365000703,7.75,0.4038912061191092,1.6475802117553675,3.387849632118339,1.8340776133803272,0.875184002998876,2026-05-08 17:30:00,2026-05-07 14:45:00,STOP_FIRST,False,2026-05-08 17:45:00,2026-05-07 14:45:00,STOP_FIRST,False,2026-05-08 18:00:00,2026-05-07 14:45:00,STOP_FIRST,False,2026-05-08 18:15:00,2026-05-07 14:45:00,STOP_FIRST,False,2026-05-09 02:00:00,2026-05-07 14:45:00,STOP_FIRST,False,True,False,True,True,FAILED_BEFORE_0_5R
3,SOLUSDT,2026-05-09 02:00:00,2026-05-09 15:00:00,93.56676,92.8508594,92.32697711,92.89730805,18.25247485,0.0,1707.82493367,0.225,100.0,2.2443,ADAPTIVE_BREAKOUT,1.70782493,1.69475798,False,-16.46954064,-0.9634,STOP LOSS,10040.91093983,VALIDATION,1.2397828900000007,22.62910601918533,-0.7278034150371143,13.0,0.4865690637172765,0.6426609097662298,2.769226795830354,0.9491661882831767,1.5721628486097203,2026-05-10 09:15:00,,TARGET_FIRST,True,2026-05-10 16:45:00,,TARGET_FIRST,True,2026-05-10 17:30:00,,TARGET_FIRST,True,2026-05-10 17:45:00,,TARGET_FIRST,True,,,NEITHER,False,False,False,True,True,REACHED_2R
4,SOLUSDT,2026-05-11 16:00:00,2026-05-12 01:30:00,96.838395,96.93516077,95.588321,96.98365259,24.09675978,0.0,2333.49154185,0.3,100.0,2.2956,ADAPTIVE_BREAKOUT,2.33349154,2.33582328,False,-2.3375734,-0.1001,STOP LOSS,10038.57336643,VALIDATION,1.2500740000000121,30.12273288522401,-0.07760163757076109,9.5,1.2572095731932476,0.2706999745615078,1.2572095731932476,5.2544049392275545,0.05186831339584968,2026-05-11 16:15:00,2026-05-12 01:45:00,TARGET_FIRST,True,2026-05-11 18:15:00,2026-05-12 01:45:00,TARGET_FIRST,True,,2026-05-12 01:45:00,STOP_FIRST,False,,2026-05-12 01:45:00,STOP_FIRST,False,,2026-05-12 01:45:00,STOP_FIRST,False,False,True,True,False,ONE_R_BREAKEVEN_TRAP
5,SOLUSDT,2026-06-15 11:00:00,2026-06-15 22:30:00,71.91594,73.93731852,71.25385983,73.97430568,34.11488685,8.52872171,2453.4041557,0.225,100.0,2.2154,ADAPTIVE_BREAKOUT,2.45340416,2.51610455,True,57.73088879,2.3507,STOP LOSS,10096.30425522,VALIDATION,0.6620801700000101,22.586790085179107,2.5559580875496595,11.5,6.304463098479348,0.4016734106384676,6.304463098479348,0.4016734106384676,2.586818874215753,2026-06-15 11:30:00,,TARGET_FIRST,True,2026-06-15 11:30:00,,TARGET_FIRST,True,2026-06-15 12:45:00,,TARGET_FIRST,True,2026-06-15 13:15:00,,TARGET_FIRST,True,2026-06-15 13:30:00,,TARGET_FIRST,True,False,False,False,False,REACHED_2R
6,LINKUSDT,2026-07-03 06:00:00,2026-07-04 09:45:00,7.7768865,7.89007542,7.68535427,7.89402243,248.18236249,62.04559062,1930.08606437,0.225,95.0,2.0641,IGNITION,1.93008606,1.96226609,True,28.28766964,1.4642,STOP LOSS,10124.59192485,VALIDATION,0.09153222999999944,22.716685085377915,1.2452375658545345,27.75,2.8745448461159633,0.30466317711258994,4.360360279652346,0.30466317711258994,3.1237584837603354,2026-07-03 08:45:00,,TARGET_FIRST,True,2026-07-03 10:45:00,,TARGET_FIRST,True,2026-07-03 19:00:00,,TARGET_FIRST,True,2026-07-03 19:30:00,,TARGET_FIRST,True,2026-07-04 15:15:00,,TARGET_FIRST,True,False,False,False,False,REACHED_2R
7,LINKUSDT,2026-07-10 02:00:00,2026-07-10 14:30:00,7.881939,7.90251227,7.74093787,7.9064655,161.56133697,0.0,1273.41660279,0.225,99.0,2.0879,IGNITION,1.2734166,1.27674045,False,0.77368717,0.0607,STOP LOSS,10125.36561203,VALIDATION,0.14100113000000025,22.78033107708082,0.033962946692131395,12.5,0.9791481812947123,0.07758093853573775,1.6883623556775662,0.19814734818082583,1.1523860127929422,2026-07-10 08:30:00,,TARGET_FIRST,True,2026-07-11 13:00:00,,TARGET_FIRST,True,2026-07-11 17:30:00,,TARGET_FIRST,True,,,NEITHER,False,,,NEITHER,False,False,True,True,False,ONE_R_BREAKEVEN_TRAP
8,LINKUSDT,2026-07-16 02:00:00,2026-07-16 08:15:00,8.5192575,8.45703752,8.45059359,8.46126815,297.13169287,0.0,2531.34140301,0.2015,95.0,2.0016,IGNITION,2.5313414,2.50598344,False,-30.39528378,-1.1996,STOP LOSS,10094.97032825,VALIDATION,0.06866390999999972,20.402223817373237,-1.48980248683074,6.25,0.7389981141475972,1.605756211669273,0.7389981141475972,7.474923871943821,0.5383101544901804,2026-07-16 04:15:00,2026-07-16 08:15:00,TARGET_FIRST,True,,2026-07-16 08:15:00,STOP_FIRST,False,,2026-07-16 08:15:00,STOP_FIRST,False,,2026-07-16 08:15:00,STOP_FIRST,False,,2026-07-16 08:15:00,STOP_FIRST,False,False,False,True,False,REACHED_0_5R_NOT_1R
