window,decision_time,signal_score,relative_strength,market_state,entry_price,stop_price,risk_per_unit,reward_risk,current_near_high,previous_near_high,fresh_zone,actual_cross,mfe_r,mae_r,mfe_class,reached_0_5r,reached_1r,reached_2r,stopped_before_horizon,stop_time,bars_before_stop_or_horizon,current_policy,current_12h_selected,fresh_12h_selected,adx14,ema50_slope_12h,adx_rank,slope_rank,hotness_rank,adx_regime,slope_regime,hotness_regime,current_fresh,current_stale,causal_history_count,causal_adx_rank,causal_slope_rank,causal_hotness_rank,v3jc_stale_hot_reject,v3jc_gate_keep,v3jc_12h_selected,baseline_stale_hot_removed,volume_ratio,momentum_24h,momentum_72h,ema20_distance_atr,ema50_distance_atr,ema200_distance_atr,outcome_class
2025h1,2025-01-02 17:00:00,95.0,83.33333333333334,BULL,22.3,21.981914414340743,0.3180855856592544,2.2000000000000024,False,False,False,False,0.8802662321830089,0.9431423916246628,MIDDLE_0.5-2R,True,False,False,True,2025-01-02 21:15:00,16,True,True,False,53.42624045050501,2.7197879772906663,1.0,1.0,1.0,HIGH,HIGH,HIGH,False,True,302,1.0,0.9603960396039604,0.9801980198019802,True,False,False,True,0.6238635566790338,7.7815369743837515,10.17786561264824,0.6204167632805273,2.3122743223963624,1.3760050605148526,MIDDLE_0.5-2R
2025h1,2025-01-06 02:00:00,100.0,100.0,STRONG_BULL,23.61,23.17707009594546,0.4329299040545393,2.200000000000004,False,False,False,False,2.702516017125508,0.6467559699103795,RUNNER_>=2R,True,True,True,True,2025-01-07 11:45:00,134,True,True,False,9.465052487216244,0.3980207526155466,0.0212765957446808,0.1914893617021276,0.1063829787234042,LOW,LOW,LOW,False,True,303,0.0131578947368421,0.1809210526315789,0.0970394736842105,False,True,True,False,1.5803516161828548,1.3304721030042765,6.73598553345387,0.7273449315632606,1.1629915871442358,3.3443166532882307,RUNNER_>=2R
2025h1,2025-01-06 15:00:00,100.0,100.0,STRONG_BULL,24.13,23.446193086902973,0.6838069130970261,2.199999999999999,True,False,True,True,0.9505607322044912,0.9798087547338544,MIDDLE_0.5-2R,True,False,False,True,2025-01-07 04:00:00,51,True,True,True,9.915993270830134,0.8486267509027368,0.0425531914893617,0.5957446808510638,0.3191489361702127,LOW,MID,LOW,True,False,304,0.0163934426229508,0.4032786885245901,0.2098360655737705,False,True,True,False,3.798080985186959,4.0086206896551735,4.91304347826087,1.279833412587578,1.8938869499705993,4.017723084712133,MIDDLE_0.5-2R
2025h1,2025-01-18 14:00:00,100.0,83.33333333333334,STRONG_BULL,24.75,23.97860807678924,0.7713919232107642,2.200000000000002,True,False,True,True,0.1166722094073696,0.9333776752589568,FALSE_<0.5R,False,False,False,True,2025-01-18 16:15:00,8,True,True,True,25.038031620993483,1.1521192903805932,0.574468085106383,0.7021276595744681,0.6382978723404256,MID,HIGH,MID,True,False,305,0.5261437908496732,0.5392156862745098,0.5326797385620915,False,True,True,False,1.1853001437613084,2.996254681647925,16.3063909774436,0.7520740999812638,1.6973124390466579,4.969726068036195,FALSE_<0.5R
2025h1,2025-01-19 23:00:00,100.0,100.0,BULL,24.76,24.02094747397957,0.7390525260204264,2.199999999999999,False,False,False,False,0.0270616759916829,0.7847886037588233,FALSE_<0.5R,False,False,False,True,2025-01-19 23:30:00,1,True,True,False,26.59051275755108,2.2514768239723537,0.7021276595744681,0.9787234042553192,0.8404255319148937,HIGH,HIGH,HIGH,False,True,306,0.5765472312703583,0.8957654723127035,0.7361563517915309,True,False,False,True,2.2192616417532425,4.164913756836364,8.16950633464395,0.03745832046948007,0.6380121124065595,2.5894027493342686,FALSE_<0.5R
2025h1,2025-01-24 04:00:00,100.0,83.33333333333334,BULL,25.23,24.73641250941724,0.4935874905827617,2.200000000000001,False,False,False,False,2.451439761107794,0.8509129749299809,RUNNER_>=2R,True,True,True,True,2025-01-25 09:00:00,115,True,True,False,23.363200492410016,0.2331116104496766,0.4468085106382978,0.1276595744680851,0.2872340425531914,MID,LOW,LOW,False,True,307,0.4512987012987013,0.1168831168831168,0.2840909090909091,False,True,True,False,0.9275424478115708,1.6109544905356543,3.1901840490797584,0.08777796358196031,0.025447806239629254,1.6126887469447904,RUNNER_>=2R
2025h1,2025-01-24 05:00:00,95.0,83.33333333333334,BULL,25.46,24.96695447303029,0.4930455269697056,2.1999999999999984,False,False,False,False,1.987646061861981,0.993823030930994,MIDDLE_0.5-2R,True,True,False,True,2025-01-25 00:30:00,77,True,False,False,22.235261507414688,0.1864008006194906,0.4042553191489361,0.1063829787234042,0.2553191489361702,MID,LOW,LOW,False,False,308,0.4239482200647249,0.1067961165048543,0.2653721682847896,False,True,False,False,0.5692104387258617,4.045770331017584,4.859967051070835,0.4593602638643535,0.42785195892885564,2.0140591651406377,MIDDLE_0.5-2R
2025h1,2025-01-24 16:00:00,100.0,66.66666666666666,STRONG_BULL,26.14,25.70228327299362,0.4377167270063822,2.1999999999999984,False,False,False,False,0.2741499069973885,0.9366788489077368,FALSE_<0.5R,False,False,False,True,2025-01-24 20:00:00,15,True,True,False,24.05671390501512,1.345371374576665,0.4680851063829787,0.7872340425531915,0.6276595744680851,MID,HIGH,MID,False,True,309,0.4870967741935484,0.6161290322580645,0.5516129032258065,False,True,True,False,0.8574386009966511,2.6305457400863874,1.1609907120743168,0.6250016379494187,1.2022301105832267,3.2821625491891036,FALSE_<0.5R
2025h1,2025-01-26 17:00:00,100.0,100.0,BULL,25.69,25.255226604531423,0.4347733954685786,2.1999999999999984,False,False,False,False,1.6100341173028117,0.4140087730207228,MIDDLE_0.5-2R,True,True,False,True,2025-01-26 23:30:00,25,True,True,False,13.354832912608732,0.2671792166694553,0.0851063829787234,0.1489361702127659,0.1170212765957446,LOW,LOW,LOW,False,True,310,0.0643086816720257,0.1414790996784566,0.1028938906752411,False,True,True,False,2.162780807094699,2.5139664804469275,-0.038910505836564635,1.1561401074719275,1.2927837358887133,3.0844528798374315,MIDDLE_0.5-2R
2025h1,2025-02-14 22:00:00,100.0,83.33333333333334,BULL,19.52,19.047668754050413,0.4723312459495865,2.2,False,False,False,False,0.3175737393752945,0.8468633050007703,FALSE_<0.5R,False,False,False,True,2025-02-15 11:30:00,53,True,True,False,32.38106244048203,1.3788869376271773,0.851063829787234,0.8085106382978723,0.8297872340425532,HIGH,HIGH,HIGH,False,True,311,0.8044871794871795,0.6410256410256411,0.7227564102564104,True,False,False,True,0.7994223590522936,5.399568034557234,3.8850452368281108,0.9982239066950716,1.7651360220263206,1.16821385698093,FALSE_<0.5R
