symbol,valid_candidates,selected_entries,completed_trades,winning_trades,win_rate,profit
BTCUSDT,0,0,0,0,0.0,0
ETHUSDT,0,0,0,0,0.0,0
SOLUSDT,38,25,25,7,28.0,-69.69430432
XRPUSDT,0,0,0,0,0.0,0
LINKUSDT,0,0,0,0,0.0,0
DOGEUSDT,0,0,0,0,0.0,0
