symbol,valid_candidates,selected_entries,completed_trades,winning_trades,win_rate,profit
BTCUSDT,0,0,0,0,0.0,0
ETHUSDT,0,0,0,0,0.0,0
SOLUSDT,30,22,22,6,27.2727,-76.68208954
XRPUSDT,0,0,0,0,0.0,0
LINKUSDT,33,16,16,3,18.75,-255.85129772
DOGEUSDT,0,0,0,0,0.0,0
