symbol,trades,winners,losers,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expectancy,total_fees,pre_fee_profit,fees_as_percent_of_absolute_net,average_hold_hours,median_hold_hours,partial_profit_trades,stop_loss_exits,longest_losing_streak,edge_label
LINKUSDT,6,3,3,50.0,69.33583816999999,117.19520018,47.85936201,2.448741380119371,11.555973028333332,24.453255849999998,93.78909402,35.26784487705286,15.041666666666666,7.75,3,6,1,KEEP_CANDIDATE
XRPUSDT,2,1,1,50.0,-4.193927730000002,20.97079973,25.16472746,0.8333410231973956,-2.096963865000001,5.96461332,1.7706855899999976,142.22022180625407,5.375,5.375,1,2,1,INSUFFICIENT_SAMPLE
SOLUSDT,7,2,5,28.57142857142857,-21.668228579999997,59.227320660000004,80.89554924000001,0.7321456027733374,-3.0954612257142853,27.539251009999997,5.87102243,127.09507336201453,6.142857142857143,3.5,2,7,3,WATCH
BTCUSDT,21,7,14,33.33333333333333,-198.80258262,72.08281964,270.88540226000003,0.2661007903660079,-9.46678964857143,114.16132216,-84.64126046000001,57.424466350224925,6.928571428571429,5.25,6,20,5,REJECT
ETHUSDT,14,1,13,7.142857142857142,-213.19867056,19.85474514,233.0534157,0.08519396757333172,-15.22847646857143,72.2988337,-140.89983686,33.91148430245634,5.660714285714286,3.375,1,14,12,REJECT
