route,score_bucket,trades,winners,losers,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expectancy,total_fees,pre_fee_profit,fees_as_percent_of_absolute_net,average_hold_hours,median_hold_hours,partial_profit_trades,stop_loss_exits,longest_losing_streak,edge_label
ADAPTIVE_BREAKOUT,95-98,1,0,1,0.0,-20.10048266,0.0,20.10048266,0.0,-20.10048266,3.9333402299999998,-16.167142430000002,19.568386971260914,3.5,3.5,0,1,1,INSUFFICIENT_SAMPLE
ADAPTIVE_BREAKOUT,99-100,20,3,17,15.0,-233.35420804,84.56110226,317.9153103,0.265986253320748,-11.667710402,93.70650778000001,-139.64770026,40.1563393979754,4.075,2.5,3,20,9,REJECT
IGNITION,90-94,3,1,2,33.33333333333333,-50.91659525,18.74839208,69.66498733,0.2691221630629126,-16.972198416666668,20.88360532,-30.03298993,41.01532165978832,8.666666666666666,8.5,1,3,2,REJECT
IGNITION,95-98,10,3,7,30.0,30.739325979999993,124.77256153,94.03323555,1.3268985247631415,3.0739325979999994,43.104562400000006,73.84388838,140.22611435281712,10.35,4.75,3,10,4,KEEP_CANDIDATE
IGNITION,99-100,11,6,5,54.54545454545454,-5.668235440000004,56.58096452999999,62.24919997000001,0.9089428387395865,-0.5152941309090913,56.47700049999999,50.808765059999985,996.3771106162793,9.25,6.75,6,10,2,WATCH
IGNITION,<90,1,0,1,0.0,-32.82061627,0.0,32.82061627,0.0,-32.82061627,4.41354821,-28.40706806,13.447487316178904,8.75,8.75,0,1,1,INSUFFICIENT_SAMPLE
PULLBACK,99-100,4,1,3,25.0,-56.406759640000004,4.66786495,61.07462459,0.07642887666253931,-14.101689910000001,21.898711600000002,-34.508048040000006,38.82284984949013,10.9375,8.375,0,4,2,REJECT
