month,start,end,completed_trades,winning_trades,losing_trades,win_rate,total_profit,roi_percent,profit_factor,expectancy_per_trade,maximum_drawdown,total_fees,verdict
MAY_2026,2026-05-01 00:00:00,2026-05-31 23:59:59,4,1,3,25.0,38.57336643,0.3857,1.857,9.64334161,0.8001,14.60440219,INSUFFICIENT_SAMPLE
JUNE_2026,2026-06-01 00:00:00,2026-06-30 23:59:59,1,1,0,100.0,57.509057,0.5751,inf,57.509057,0.5235,4.9504133,INSUFFICIENT_SAMPLE
