decision_time,state,score,btc_score,eth_score,breadth_score,new_entries_allowed,altcoins_allowed,risk_multiplier,reasons
2026-05-01 00:00:00,BEAR,40.13666666666666,44.5,30.3,33.33333333333333,False,False,0.0,BTC composite 44.5 | ETH confirmation 30.3 | breadth 33.3
2026-05-01 01:00:00,BEAR,36.803333333333335,44.5,30.3,16.666666666666664,False,False,0.0,BTC composite 44.5 | ETH confirmation 30.3 | breadth 16.7
2026-05-01 02:00:00,BEAR,39.864444444444445,47.5,30.3,22.22222222222222,False,False,0.0,BTC composite 47.5 | ETH confirmation 30.3 | breadth 22.2
2026-05-01 03:00:00,BEAR,43.49777777777778,47.5,32.3,38.88888888888889,False,False,0.0,BTC composite 47.5 | ETH confirmation 32.3 | breadth 38.9
2026-05-01 04:00:00,NEUTRAL,51.795,55.0,40.3,50.0,True,False,0.35,BTC composite 55.0 | ETH confirmation 40.3 | breadth 50.0
2026-05-01 05:00:00,NEUTRAL,55.24611111111111,58.599999999999994,40.3,55.55555555555556,True,False,0.35,BTC composite 58.6 | ETH confirmation 40.3 | breadth 55.6
2026-05-01 06:00:00,NEUTRAL,56.02611111111111,59.8,40.3,55.55555555555556,True,False,0.35,BTC composite 59.8 | ETH confirmation 40.3 | breadth 55.6
2026-05-01 07:00:00,NEUTRAL,56.02611111111111,59.8,40.3,55.55555555555556,True,False,0.35,BTC composite 59.8 | ETH confirmation 40.3 | breadth 55.6
2026-05-01 08:00:00,NEUTRAL,60.765,68.8,40.3,50.0,True,False,0.35,BTC composite 68.8 | ETH confirmation 40.3 | breadth 50.0
2026-05-01 09:00:00,NEUTRAL,61.876111111111115,68.8,40.3,55.55555555555556,True,False,0.35,BTC composite 68.8 | ETH confirmation 40.3 | breadth 55.6
2026-05-01 10:00:00,NEUTRAL,63.43722222222222,68.8,43.3,61.111111111111114,True,False,0.35,BTC composite 68.8 | ETH confirmation 43.3 | breadth 61.1
2026-05-01 11:00:00,NEUTRAL,63.43722222222222,68.8,43.3,61.111111111111114,True,False,0.35,BTC composite 68.8 | ETH confirmation 43.3 | breadth 61.1
2026-05-01 12:00:00,NEUTRAL,64.84222222222222,71.1,42.7,61.111111111111114,True,False,0.35,BTC composite 71.1 | ETH confirmation 42.7 | breadth 61.1
2026-05-01 13:00:00,BULL,67.42444444444445,69.89999999999999,50.3,72.22222222222221,True,True,0.75,BTC composite 69.9 | ETH confirmation 50.3 | breadth 72.2
