window,decision_time,signal_score,relative_strength,market_state,entry_price,stop_price,risk_per_unit,reward_risk,current_near_high,previous_near_high,fresh_zone,actual_cross,mfe_r,mae_r,mfe_class,reached_0_5r,reached_1r,reached_2r,stopped_before_horizon,stop_time,bars_before_stop_or_horizon,current_policy,current_12h_selected,fresh_12h_selected,adx14,ema50_slope_12h,adx_rank,slope_rank,hotness_rank,adx_regime,slope_regime,hotness_regime,current_fresh,current_stale,causal_history_count,causal_adx_rank,causal_slope_rank,causal_hotness_rank,v3jc_stale_hot_reject,v3jc_gate_keep,v3jc_12h_selected
2021,2021-01-06 03:00:00,95.0,100.0,STRONG_BULL,14.4399,14.063076319088768,0.3768236809112331,2.199999999999999,False,False,False,False,7.841333094710817,0.7117387085425214,RUNNER_>=2R,True,True,True,False,,144,True,True,False,18.30283159175761,2.7003834466191146,0.2452830188679245,0.9245283018867924,0.5849056603773585,LOW,HIGH,MID,False,True,0,1.0,1.0,1.0,True,False,False
2021,2021-02-02 13:00:00,95.0,66.66666666666666,STRONG_BULL,23.1242,22.81922367567937,0.3049763243206271,2.2,False,False,False,False,0.6987427646218362,0.8335073241054353,MIDDLE_0.5-2R,True,False,False,True,2021-02-02 15:45:00,10,True,True,False,33.415610522190654,1.0950684739441383,0.8867924528301887,0.3962264150943396,0.6415094339622642,HIGH,MID,MID,False,True,1,1.0,0.5,0.75,True,False,False
2021,2021-02-05 21:00:00,95.0,83.33333333333334,STRONG_BULL,26.345,25.481527698227,0.863472301773001,2.1999999999999984,False,False,False,False,0.5269422065603411,0.6572301147758062,MIDDLE_0.5-2R,True,False,False,True,2021-02-06 01:45:00,18,True,True,False,18.382331319071927,2.0570085012881822,0.2641509433962264,0.7169811320754716,0.490566037735849,LOW,HIGH,MID,False,True,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,False,True,True
2021,2021-02-09 17:00:00,100.0,66.66666666666666,STRONG_BULL,25.7752,25.14810699093772,0.6270930090622855,2.199999999999997,False,False,False,False,4.570294930070472,0.0017541257582282,RUNNER_>=2R,True,True,True,True,2021-02-10 12:45:00,78,True,True,False,28.397397221950943,0.8339300891981871,0.7169811320754716,0.2452830188679245,0.4811320754716981,HIGH,LOW,MID,False,True,3,0.75,0.25,0.5,False,True,True
2021,2021-02-18 10:00:00,95.0,66.66666666666666,STRONG_BULL,32.6236,32.120903994492046,0.502696005507957,2.199999999999997,False,False,False,False,0.4143657353901473,0.3781609519811313,FALSE_<0.5R,False,False,False,True,2021-02-18 11:45:00,6,True,True,False,23.560997487727047,1.070165468393136,0.5471698113207547,0.3584905660377358,0.4528301886792453,MID,MID,MID,False,True,4,0.6,0.4,0.5,False,True,True
2021,2021-02-20 03:00:00,100.0,66.66666666666666,STRONG_BULL,34.636,33.662025883680975,0.9739741163190274,2.2,False,False,False,False,2.356017435732722,0.5898514040303527,RUNNER_>=2R,True,True,True,True,2021-02-20 22:45:00,78,True,True,False,17.188728799167528,2.1955577726606723,0.2075471698113207,0.7735849056603774,0.490566037735849,LOW,HIGH,MID,False,True,5,0.16666666666666666,0.8333333333333334,0.5,False,True,True
2021,2021-03-03 22:00:00,100.0,100.0,STRONG_BULL,30.3992,29.826034712638105,0.5731652873618955,2.199999999999999,False,False,False,False,0.2726962072657944,0.6964832113915969,FALSE_<0.5R,False,False,False,True,2021-03-04 00:00:00,7,True,True,False,33.62162609305018,3.064798501871113,0.9056603773584906,0.981132075471698,0.9433962264150944,HIGH,HIGH,HIGH,False,True,6,1.0,1.0,1.0,True,False,False
2021,2021-03-13 23:00:00,95.0,66.66666666666666,STRONG_BULL,29.8837,29.46372781462507,0.419972185374931,2.1999999999999966,False,False,False,False,0.7531451153547724,0.4897943415380262,MIDDLE_0.5-2R,True,False,False,True,2021-03-14 01:15:00,8,True,True,False,27.040040118785846,1.5609472178209405,0.6415094339622641,0.5849056603773585,0.6132075471698113,MID,MID,MID,False,True,7,0.625,0.5,0.5625,False,True,True
2021,2021-03-19 09:00:00,98.0,83.33333333333334,STRONG_BULL,30.1063,29.458231077414407,0.648068922585594,2.2,True,False,True,True,2.046387280397389,0.8273811338780591,RUNNER_>=2R,True,True,True,False,,144,True,True,True,12.576920233338264,0.3793352929644555,0.0754716981132075,0.1886792452830188,0.1320754716981132,LOW,LOW,LOW,True,False,8,0.1111111111111111,0.1111111111111111,0.1111111111111111,False,True,True
2021,2021-03-19 19:00:00,100.0,100.0,STRONG_BULL,30.3359,29.80455627823965,0.5313437217603436,2.199999999999999,False,False,False,False,0.0703875824035246,0.9669823486344744,FALSE_<0.5R,False,False,False,True,2021-03-20 00:00:00,19,True,False,False,14.1987703828726,0.8804221304794968,0.0943396226415094,0.2641509433962264,0.1792452830188679,LOW,LOW,LOW,False,False,9,0.2,0.3,0.25,False,True,False
2021,2021-03-30 04:00:00,95.0,66.66666666666666,STRONG_BULL,27.9786,27.709576862869827,0.2690231371301728,2.200000000000005,False,False,False,False,0.0,0.0,FALSE_<0.5R,False,False,False,True,2021-03-30 04:15:00,0,True,True,False,27.904872053619656,1.402585284283786,0.6792452830188679,0.5283018867924528,0.6037735849056604,HIGH,MID,MID,False,True,10,0.7272727272727273,0.5454545454545454,0.6363636363636364,False,True,True
2021,2021-03-31 19:00:00,100.0,66.66666666666666,STRONG_BULL,28.2682,27.51938991036685,0.7488100896331424,2.200000000000002,True,False,True,True,3.815119533711953,0.5184225017456541,RUNNER_>=2R,True,True,True,False,,144,True,True,True,31.73366938785675,-0.5527819063681494,0.8490566037735849,0.0188679245283018,0.4339622641509434,HIGH,LOW,MID,True,False,11,0.8333333333333334,0.08333333333333333,0.45833333333333337,False,True,True
