symbol,trades,winners,losers,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expectancy,total_fees,pre_fee_profit,fees_as_percent_of_absolute_net,average_hold_hours,median_hold_hours,partial_profit_trades,stop_loss_exits,longest_losing_streak,edge_label
SOLUSDT,12,5,7,41.66666666666667,69.15111422999998,154.74150183,85.5903876,1.8079308456128549,5.762592852499998,47.51211813,116.66323235999997,68.70766821192841,9.541666666666666,8.375,5,12,5,DEVELOPMENT_PASS
DOGEUSDT,2,1,1,50.0,-12.726796010000001,3.86307545,16.58987146,0.2328574672392308,-6.3633980050000005,2.4999597099999997,-10.226836300000002,19.643276344145626,6.25,6.25,0,2,1,INSUFFICIENT_SAMPLE
ETHUSDT,26,4,22,15.384615384615385,-28.34536421999998,432.83333403999995,461.17869826000003,0.9385371346791483,-1.0902063161538453,116.61912749,88.27376327000002,411.4222226423736,7.836538461538462,3.875,3,26,11,REJECT
XRPUSDT,3,0,3,0.0,-66.81146086000001,0.0,66.81146086000001,0.0,-22.270486953333336,14.45272237,-52.35873849000001,21.63210051683339,3.0,2.25,0,3,3,INSUFFICIENT_SAMPLE
BTCUSDT,29,8,21,27.586206896551722,-76.59986313000002,262.60092,339.20078313,0.7741754531838955,-2.6413745906896557,175.65282768,99.05296454999998,229.31219522141197,8.71551724137931,3.5,6,26,10,REJECT
LINKUSDT,10,3,7,30.0,-103.14770663,60.092584460000005,163.24029109000003,0.3681234826202857,-10.314770663000001,36.166082790000004,-66.98162384,35.06242065054433,8.125,2.75,3,9,3,REJECT
