route,trades,winners,losers,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expectancy,total_fees,pre_fee_profit,fees_as_percent_of_absolute_net,average_hold_hours,median_hold_hours,partial_profit_trades,stop_loss_exits,longest_losing_streak,edge_label
ADAPTIVE_BREAKOUT,29,9,20,31.03448275862069,-20.369803529999974,344.42233027,364.7921338,0.9441605187101761,-0.7024070182758612,130.49144622,110.12164269000003,640.6121984820153,9.431034482758621,6.5,8,28,6,REJECT
PULLBACK,15,5,10,33.33333333333333,-26.02958728000001,168.99158348,195.02117076000002,0.8665294276587389,-1.7353058186666672,59.982893280000006,33.953306,230.4411999881697,6.666666666666667,2.5,4,14,3,REJECT
IGNITION,38,7,31,18.421052631578945,-172.08068580999998,400.71750203,572.7981878399999,0.6995788578540907,-4.528439100263157,202.42849866999998,30.347812860000005,117.63580422587812,7.901315789473684,3.375,5,36,13,REJECT
