open_time,symbol,rank,regime,regime_score,relative_score,momentum_24h,momentum_72h,selected,capital_percent,portfolio_deployed_percent
2026-05-04 00:00:00,ETHUSDT,1,STRONG,100.0,91.67,0.2169,2.6106,True,30.0,50.0
2026-05-04 00:00:00,BTCUSDT,2,STRONG,96.0,84.87,0.0061,2.7323,True,20.0,50.0
2026-05-04 00:00:00,DOGEUSDT,3,ACTIVE,78.0,68.43,0.7115,1.3107,False,0.0,50.0
2026-05-04 00:00:00,XRPUSDT,4,STRONG,82.0,66.07,-0.0576,1.3949,False,0.0,50.0
2026-05-04 00:00:00,SOLUSDT,5,ACTIVE,66.0,43.87,-0.3568,0.6971,False,0.0,50.0
2026-05-04 00:00:00,LINKUSDT,6,ACTIVE,67.0,42.65,-0.1094,0.2195,False,0.0,50.0
2026-05-04 01:00:00,ETHUSDT,1,STRONG,100.0,90.0,2.0424,3.6799,True,30.0,50.0
2026-05-04 01:00:00,BTCUSDT,2,STRONG,100.0,90.0,1.9537,4.0207,True,20.0,50.0
2026-05-04 01:00:00,DOGEUSDT,3,STRONG,83.0,79.85,4.5235,3.2101,False,0.0,50.0
2026-05-04 01:00:00,XRPUSDT,4,STRONG,100.0,70.83,1.5101,2.4428,False,0.0,50.0
2026-05-04 01:00:00,LINKUSDT,5,STRONG,94.0,62.3,1.8702,1.4239,False,0.0,50.0
2026-05-04 01:00:00,SOLUSDT,6,STRONG,99.0,58.72,1.2179,1.3874,False,0.0,50.0
2026-05-04 02:00:00,ETHUSDT,1,STRONG,100.0,95.83,3.0963,4.7549,True,30.0,50.0
2026-05-04 02:00:00,BTCUSDT,2,STRONG,100.0,85.0,2.5603,4.6751,True,20.0,50.0
2026-05-04 02:00:00,DOGEUSDT,3,STRONG,83.0,78.18,5.1335,4.28,False,0.0,50.0
2026-05-04 02:00:00,XRPUSDT,4,STRONG,99.0,69.55,1.9517,2.9414,False,0.0,50.0
2026-05-04 02:00:00,SOLUSDT,5,STRONG,99.0,61.22,1.9125,1.9491,False,0.0,50.0
2026-05-04 02:00:00,LINKUSDT,6,STRONG,92.0,60.57,2.5303,2.193,False,0.0,50.0
2026-05-04 03:00:00,ETHUSDT,1,STRONG,100.0,96.67,3.6153,4.479,True,30.0,50.0
2026-05-04 03:00:00,DOGEUSDT,2,STRONG,93.0,84.35,4.7381,3.538,True,20.0,50.0
2026-05-04 03:00:00,BTCUSDT,3,STRONG,100.0,80.83,2.7022,4.1296,False,0.0,50.0
2026-05-04 03:00:00,XRPUSDT,4,STRONG,99.0,71.22,2.0882,2.6518,False,0.0,50.0
2026-05-04 03:00:00,LINKUSDT,5,STRONG,80.0,60.17,2.7473,2.0742,False,0.0,50.0
2026-05-04 03:00:00,SOLUSDT,6,STRONG,95.0,54.42,2.0796,1.8119,False,0.0,50.0
2026-05-04 04:00:00,ETHUSDT,1,STRONG,100.0,93.33,3.8492,4.8243,True,30.0,50.0
2026-05-04 04:00:00,BTCUSDT,2,STRONG,100.0,83.33,2.7748,4.2699,True,20.0,50.0
2026-05-04 04:00:00,DOGEUSDT,3,STRONG,89.0,82.55,4.7813,3.8861,False,0.0,50.0
2026-05-04 04:00:00,XRPUSDT,4,STRONG,100.0,66.67,2.3486,2.9363,False,0.0,50.0
2026-05-04 04:00:00,SOLUSDT,5,STRONG,99.0,62.88,2.4612,2.3145,False,0.0,50.0
2026-05-04 04:00:00,LINKUSDT,6,STRONG,80.0,59.33,2.8571,2.1834,False,0.0,50.0
2026-05-04 05:00:00,ETHUSDT,1,STRONG,100.0,94.17,3.1283,4.0701,True,30.0,50.0
2026-05-04 05:00:00,BTCUSDT,2,STRONG,100.0,81.67,2.272,3.708,True,20.0,50.0
2026-05-04 05:00:00,DOGEUSDT,3,STRONG,82.0,79.4,4.2242,3.0972,False,0.0,50.0
2026-05-04 05:00:00,XRPUSDT,4,STRONG,100.0,65.0,1.9206,2.5425,False,0.0,50.0
2026-05-04 05:00:00,LINKUSDT,5,STRONG,85.0,64.08,2.7503,1.9651,False,0.0,50.0
2026-05-04 05:00:00,SOLUSDT,6,STRONG,100.0,63.33,1.9341,1.5824,False,0.0,50.0
2026-05-04 06:00:00,ETHUSDT,1,STRONG,100.0,92.5,2.7737,3.9939,True,30.0,50.0
2026-05-04 06:00:00,DOGEUSDT,2,STRONG,99.0,87.05,3.885,3.3389,True,20.0,50.0
2026-05-04 06:00:00,BTCUSDT,3,STRONG,100.0,81.67,2.0304,3.7463,False,0.0,50.0
2026-05-04 06:00:00,XRPUSDT,4,STRONG,100.0,70.83,1.7108,2.5921,False,0.0,50.0
2026-05-04 06:00:00,LINKUSDT,5,STRONG,97.0,69.48,2.3102,1.6393,False,0.0,50.0
2026-05-04 06:00:00,SOLUSDT,6,STRONG,100.0,59.17,1.3372,1.2284,False,0.0,50.0
2026-05-04 07:00:00,ETHUSDT,1,STRONG,97.0,89.48,2.3176,3.6552,True,30.0,50.0
2026-05-04 07:00:00,DOGEUSDT,2,STRONG,89.0,87.55,4.096,3.7786,True,20.0,50.0
2026-05-04 07:00:00,LINKUSDT,3,STRONG,97.0,74.48,2.3052,1.7467,False,0.0,50.0
2026-05-04 07:00:00,BTCUSDT,4,STRONG,97.0,73.65,1.7017,3.3271,False,0.0,50.0
2026-05-04 07:00:00,XRPUSDT,5,STRONG,97.0,71.98,1.7675,2.5966,False,0.0,50.0
2026-05-04 07:00:00,SOLUSDT,6,STRONG,92.0,51.4,1.1803,1.0838,False,0.0,50.0
2026-05-04 08:00:00,ETHUSDT,1,STRONG,97.0,89.48,2.2424,3.1973,True,30.0,50.0
2026-05-04 08:00:00,DOGEUSDT,2,STRONG,89.0,85.05,3.6766,3.1797,True,20.0,50.0
2026-05-04 08:00:00,LINKUSDT,3,STRONG,100.0,79.17,3.1833,2.3965,False,0.0,50.0
2026-05-04 08:00:00,BTCUSDT,4,STRONG,97.0,76.98,1.6845,3.0123,False,0.0,50.0
2026-05-04 08:00:00,XRPUSDT,5,STRONG,92.0,65.57,1.6784,2.4013,False,0.0,50.0
2026-05-04 08:00:00,SOLUSDT,6,STRONG,85.0,48.25,1.0369,0.7009,False,0.0,50.0
