window,cohort,feature,regime,signals,false_pct,runner_pct,median_mfe_r,median_mae_r,stopped_pct
2021,CURRENT_12H,ADX,LOW,12,16.666666666666664,50.0,1.7747189341117782,0.743115482532094,83.33333333333334
2021,CURRENT_12H,ADX,MID,13,38.46153846153847,15.384615384615385,0.7531451153547724,0.7306831451783365,84.61538461538461
2021,CURRENT_12H,ADX,HIGH,14,35.714285714285715,42.857142857142854,0.8935761451427167,0.6782757171933342,85.71428571428571
2021,CURRENT_12H,EMA50_SLOPE,LOW,12,16.666666666666664,50.0,1.9333241117404198,0.7344372540105402,75.0
2021,CURRENT_12H,EMA50_SLOPE,MID,12,33.33333333333333,33.33333333333333,0.7259439399883043,0.7909715691553517,91.66666666666666
2021,CURRENT_12H,EMA50_SLOPE,HIGH,15,40.0,26.666666666666668,0.5887171055073321,0.7117387085425214,86.66666666666667
2021,CURRENT_12H,HOTNESS,LOW,10,20.0,40.0,1.6616557654548092,0.7946022432796036,80.0
2021,CURRENT_12H,HOTNESS,MID,15,26.666666666666668,40.0,1.2174523242702842,0.6572301147758062,80.0
2021,CURRENT_12H,HOTNESS,HIGH,14,42.857142857142854,28.57142857142857,0.6530871871929523,0.7216706352313373,92.85714285714286
2021,CURRENT_FRESH,ADX,LOW,5,20.0,20.0,1.1993521391040838,0.8273811338780591,80.0
2021,CURRENT_FRESH,ADX,MID,3,0.0,0.0,1.2444137710017815,0.9787361822565036,66.66666666666666
2021,CURRENT_FRESH,ADX,HIGH,1,0.0,100.0,3.815119533711953,0.5184225017456541,0.0
2021,CURRENT_FRESH,EMA50_SLOPE,LOW,7,14.285714285714285,28.57142857142857,1.5030505878261675,0.8147122300375405,57.14285714285714
2021,CURRENT_FRESH,EMA50_SLOPE,MID,2,0.0,0.0,0.9549044444135566,0.9154336693170704,100.0
2021,CURRENT_FRESH,EMA50_SLOPE,HIGH,0,,,,,
2021,CURRENT_FRESH,HOTNESS,LOW,6,16.666666666666664,16.666666666666664,1.3512013634651256,0.8210466819577997,66.66666666666666
2021,CURRENT_FRESH,HOTNESS,MID,3,0.0,33.33333333333333,1.2444137710017815,0.9787361822565036,66.66666666666666
2021,CURRENT_FRESH,HOTNESS,HIGH,0,,,,,
2021,CURRENT_STALE,ADX,LOW,7,14.285714285714285,71.42857142857143,2.8284104640816725,0.6943822514994136,85.71428571428571
2021,CURRENT_STALE,ADX,MID,10,50.0,20.0,0.5659115021343599,0.7216706352313373,90.0
2021,CURRENT_STALE,ADX,HIGH,13,38.46153846153847,38.46153846153847,0.6987427646218362,0.6964832113915969,92.3076923076923
2021,CURRENT_STALE,EMA50_SLOPE,LOW,5,20.0,80.0,4.099448617259718,0.6943822514994136,100.0
2021,CURRENT_STALE,EMA50_SLOPE,MID,10,40.0,40.0,0.7259439399883043,0.7066573892115335,90.0
2021,CURRENT_STALE,EMA50_SLOPE,HIGH,15,40.0,26.666666666666668,0.5887171055073321,0.7117387085425214,86.66666666666667
2021,CURRENT_STALE,HOTNESS,LOW,4,25.0,75.0,3.463929540670695,0.7344372540105402,100.0
2021,CURRENT_STALE,HOTNESS,MID,12,33.33333333333333,41.66666666666667,0.7259439399883043,0.6235407594030795,83.33333333333334
2021,CURRENT_STALE,HOTNESS,HIGH,14,42.857142857142854,28.57142857142857,0.6530871871929523,0.7216706352313373,92.85714285714286
2021,FRESH_POLICY_12H,ADX,LOW,6,16.666666666666664,16.666666666666664,0.9458543518304563,0.8210466819577997,83.33333333333334
2021,FRESH_POLICY_12H,ADX,MID,3,0.0,0.0,1.287791541894007,0.7358808810822908,66.66666666666666
2021,FRESH_POLICY_12H,ADX,HIGH,3,66.66666666666666,33.33333333333333,0.3864104644204486,0.8758637193530171,66.66666666666666
2021,FRESH_POLICY_12H,EMA50_SLOPE,LOW,7,14.285714285714285,28.57142857142857,1.5030505878261675,0.6094530740530189,57.14285714285714
2021,FRESH_POLICY_12H,EMA50_SLOPE,MID,4,25.0,0.0,0.9549044444135566,0.8662191264006551,100.0
2021,FRESH_POLICY_12H,EMA50_SLOPE,HIGH,1,100.0,0.0,0.3864104644204486,0.8758637193530171,100.0
2021,FRESH_POLICY_12H,HOTNESS,LOW,7,14.285714285714285,14.285714285714285,1.1993521391040838,0.8147122300375405,71.42857142857143
