window,cohort,signals,false_pct,runner_pct,median_mfe_r,median_mae_r,reached_1r_pct,reached_2r_pct,stopped_pct
2021,CURRENT_12H,39,30.76923076923077,35.8974358974359,1.1993521391040838,0.7126581252843383,53.84615384615385,35.8974358974359,84.61538461538461
2021,V3JC_12H,28,39.285714285714285,32.142857142857146,0.9762486272294281,0.7525877008500016,50.0,32.142857142857146,85.71428571428571
2021,REJECTED_STALE_HOT,14,28.57142857142857,35.714285714285715,0.8357782231937909,0.7269079233025395,42.857142857142854,35.714285714285715,85.71428571428571
2022,CURRENT_12H,35,25.71428571428571,34.285714285714285,1.142786611227555,0.7648593387336394,54.285714285714285,34.285714285714285,77.14285714285715
2022,V3JC_12H,24,25.0,33.33333333333333,1.2461875775138176,0.6608841081250801,58.333333333333336,33.33333333333333,75.0
2022,REJECTED_STALE_HOT,17,29.411764705882355,29.411764705882355,0.8935306270924699,0.8230942486851842,47.05882352941176,29.411764705882355,82.35294117647058
2023,CURRENT_12H,80,40.0,23.75,0.6620588663330911,0.7666196003308938,38.75,23.75,80.0
2023,V3JC_12H,62,38.70967741935484,25.806451612903224,0.6266807276034831,0.6899730288380415,40.32258064516129,25.806451612903224,75.80645161290323
2023,REJECTED_STALE_HOT,26,57.692307692307686,11.538461538461538,0.3610012436089261,0.8445146142698285,23.076923076923077,11.538461538461538,96.15384615384616
2024,CURRENT_12H,66,36.36363636363637,30.303030303030305,0.7383710420673372,0.8047132061287502,43.93939393939394,30.303030303030305,80.3030303030303
2024,V3JC_12H,44,22.727272727272727,36.36363636363637,1.0443724540685033,0.8139404042559151,54.54545454545454,36.36363636363637,75.0
2024,REJECTED_STALE_HOT,28,53.57142857142857,21.428571428571427,0.3362389515507299,0.8181476364555984,28.57142857142857,21.428571428571427,89.28571428571429
2025h1,CURRENT_12H,33,42.42424242424242,24.242424242424242,0.8802662321830089,0.8509129749299809,45.45454545454545,24.242424242424242,84.84848484848484
2025h1,V3JC_12H,28,46.42857142857143,25.0,0.7408343306999792,0.8604861818262155,46.42857142857143,25.0,85.71428571428571
2025h1,REJECTED_STALE_HOT,7,42.857142857142854,14.285714285714285,0.7724484249578856,0.8468633050007703,28.57142857142857,14.285714285714285,85.71428571428571
ALL,CURRENT_12H,253,35.96837944664031,28.85375494071146,0.8129166083705992,0.780345269593675,45.45454545454545,28.85375494071146,81.02766798418972
ALL,V3JC_12H,186,34.40860215053764,30.107526881720432,0.959600090882735,0.7730044385829301,48.38709677419355,30.107526881720432,78.49462365591397
ALL,REJECTED_STALE_HOT,92,45.65217391304348,21.73913043478261,0.6909029064400254,0.7991972345027605,32.608695652173914,21.73913043478261,89.13043478260869
