symbol,interval,candle_limit,starting_capital,final_balance,total_profit,roi_percent,completed_trades,winning_trades,losing_trades,break_even_trades,win_rate,maximum_drawdown,gross_profit,gross_loss,profit_factor,average_win,average_loss,payoff_ratio,expectancy,largest_win,largest_loss,total_fees,stop_loss_exits,take_profit_exits,atr_trailing_exits,strategy_sell_exits,profit_extension_exits,end_of_backtest_exits,other_exits,final_mode,final_reason,csv_file
BTCUSDT,1h,1000,10000.0,9969.094369775483,-30.905630224517154,-0.30905630224517155,3,2,1,0,66.66666666666666,1.6963332783829812,81.44191977,112.34755,0.7249105100200227,40.720959885,-112.34755,0.36245525501001136,-10.301876743333333,53.55139886,-112.34755,29.999093459999997,1,0,2,0,0,0,0,ACTIVE,ENGINE INITIALIZED,logs/backtests/btcusdt_trade_history.csv
ETHUSDT,1h,1000,10000.0,10161.678863226305,161.6788632263051,1.6167886322630511,6,3,3,0,50.0,2.7334690813882396,302.39564445,140.71678122,2.1489664688764263,100.79854815,-46.90559374,2.1489664688764263,26.946477204999997,234.19564903,-112.21917827,60.08669378,1,1,4,0,0,0,0,ACTIVE,NEW DAY RESET,logs/backtests/ethusdt_trade_history.csv
SOLUSDT,1h,1000,10000.0,9440.548035058055,-559.4519649419453,-5.594519649419453,11,3,8,0,27.27272727272727,5.594519649419453,231.16673084,790.6186958,0.2923871293052213,77.05557694666668,-98.827336975,0.7796990114805902,-50.859269541818186,116.96859181,-112.34755,106.35714321,7,0,4,0,0,0,0,ACTIVE,ENGINE INITIALIZED,logs/backtests/solusdt_trade_history.csv
XRPUSDT,1h,1000,10000.0,9650.240896877,-349.7591031230004,-3.497591031230004,4,0,4,0,0.0,4.20494069918977,0,349.75910312999997,0.0,0.0,-87.43977578249999,0.0,-87.43977578249999,0.0,-112.15591503,39.303164370000005,3,0,1,0,0,0,0,ACTIVE,ENGINE INITIALIZED,logs/backtests/xrpusdt_trade_history.csv
LINKUSDT,1h,1000,10000.0,9971.367281267787,-28.632718732213107,-0.286327187322131,11,5,6,0,45.45454545454545,6.3267020124064945,534.52757968,563.16029842,0.9491570715827593,106.905515936,-93.86004973666667,1.1389884858993111,-2.6029744309090925,235.76721227,-112.34755,109.01755562,4,1,5,0,1,0,0,ACTIVE,NEW DAY RESET,logs/backtests/linkusdt_trade_history.csv
DOGEUSDT,1h,1000,10000.0,9576.454790100612,-423.5452098993883,-4.235452098993883,8,3,5,0,37.5,4.616963311340337,181.42670040000002,604.97191029,0.29989276743945203,60.4755668,-120.994382058,0.4998212790657534,-52.94315123625,110.65734494,-198.18132119,77.75423657,3,0,4,0,0,0,1,ACTIVE,NEW DAY RESET,logs/backtests/dogeusdt_trade_history.csv
