symbol,valid_candidates,selected_entries,completed_trades,winning_trades,win_rate,profit
BTCUSDT,0,0,0,0,0.0,0
ETHUSDT,11,3,3,2,66.6667,103.09679684
SOLUSDT,38,24,24,7,29.1667,-66.46862775
XRPUSDT,0,0,0,0,0.0,0
LINKUSDT,27,14,14,2,14.2857,-215.1747346
DOGEUSDT,0,0,0,0,0.0,0
