decision_time,source_candle_open_time,order_fill_time,signal_to_fill_minutes,symbol,route,market_state,relative_strength_percentile,raw_signal_valid,raw_score,raw_failed_checks,raw_episode_id,raw_episode_first_true_time,raw_condition_age_hours,quality_valid,quality_failed_checks,quality_episode_id,quality_episode_first_true_time,quality_condition_age_hours,candidate_emitted_after_route_cooldown,emission_number_in_same_quality_episode,stale_same_episode_retrigger,setup_score,theoretical_reward_risk,selection_rank,selection_score
2025-08-04 14:00:00,2025-08-04 13:00:00,2025-08-04 14:00:00,0.0,ETHUSDT,ADAPTIVE_BREAKOUT,NEUTRAL,66.6667,True,100.0,,1,2025-08-04 14:00:00,0.0,False,route_quality,0,,0.0,False,0,False,100.0,2.4,0,0.0
2025-08-05 01:00:00,2025-08-05 00:00:00,2025-08-05 01:00:00,0.0,XRPUSDT,ADAPTIVE_BREAKOUT,BULL,33.3333,True,99.0,volume|relative_strength,1,2025-08-05 01:00:00,0.0,False,volume|relative_strength|route_quality,0,,0.0,False,0,False,99.0,2.4,0,0.0
2025-08-06 16:00:00,2025-08-06 15:00:00,2025-08-06 16:00:00,0.0,BTCUSDT,ADAPTIVE_BREAKOUT,NEUTRAL,33.3333,True,100.0,relative_strength,1,2025-08-06 16:00:00,0.0,False,relative_strength|route_quality,0,,0.0,False,0,False,100.0,2.4,0,0.0
2025-08-06 16:00:00,2025-08-06 15:00:00,2025-08-06 16:00:00,0.0,ETHUSDT,ADAPTIVE_BREAKOUT,NEUTRAL,50.0,True,100.0,adx,2,2025-08-06 16:00:00,0.0,False,adx|route_quality,0,,0.0,False,0,False,100.0,2.4,0,0.0
2025-08-06 18:00:00,2025-08-06 17:00:00,2025-08-06 18:00:00,0.0,ETHUSDT,ADAPTIVE_BREAKOUT,NEUTRAL,50.0,True,100.0,volume,3,2025-08-06 18:00:00,0.0,False,volume|route_quality,0,,0.0,False,0,False,100.0,2.4,0,0.0
2025-08-07 06:00:00,2025-08-07 05:00:00,2025-08-07 06:00:00,0.0,ETHUSDT,IGNITION,NEUTRAL,33.3333,True,91.0,volume|relative_strength,1,2025-08-07 06:00:00,0.0,False,volume|relative_strength|route_quality,0,,0.0,False,0,False,91.0,2.2,0,0.0
2025-08-07 08:00:00,2025-08-07 07:00:00,2025-08-07 08:00:00,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,BULL,100.0,True,100.0,,1,2025-08-07 08:00:00,0.0,True,,1,2025-08-07 08:00:00,0.0,True,1,False,100.0,2.4,1,100.0
2025-08-07 08:00:00,2025-08-07 07:00:00,2025-08-07 08:00:00,0.0,LINKUSDT,ADAPTIVE_BREAKOUT,BULL,66.6667,True,100.0,,1,2025-08-07 08:00:00,0.0,False,route_quality,0,,0.0,False,0,False,100.0,2.4,0,0.0
2025-08-07 09:00:00,2025-08-07 08:00:00,2025-08-07 09:00:00,0.0,ETHUSDT,ADAPTIVE_BREAKOUT,BULL,50.0,True,100.0,,4,2025-08-07 09:00:00,0.0,False,route_quality,0,,0.0,False,0,False,100.0,2.4,0,0.0
2025-08-07 10:00:00,2025-08-07 09:00:00,2025-08-07 10:00:00,0.0,ETHUSDT,ADAPTIVE_BREAKOUT,BULL,83.3333,True,100.0,,4,2025-08-07 09:00:00,1.0,False,route_quality,0,,0.0,False,0,False,100.0,2.4,0,0.0
2025-08-07 11:00:00,2025-08-07 10:00:00,2025-08-07 11:00:00,0.0,BTCUSDT,IGNITION,BULL,16.6667,True,95.0,rsi|relative_strength,1,2025-08-07 11:00:00,0.0,False,rsi|relative_strength|route_quality,0,,0.0,False,0,False,95.0,2.2,0,0.0
2025-08-07 11:00:00,2025-08-07 10:00:00,2025-08-07 11:00:00,0.0,BTCUSDT,ADAPTIVE_BREAKOUT,BULL,16.6667,True,100.0,relative_strength,2,2025-08-07 11:00:00,0.0,False,relative_strength|route_quality,0,,0.0,False,0,False,100.0,2.4,0,0.0
2025-08-07 11:00:00,2025-08-07 10:00:00,2025-08-07 11:00:00,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,BULL,83.3333,True,100.0,,2,2025-08-07 11:00:00,0.0,True,,2,2025-08-07 11:00:00,0.0,False,0,False,100.0,2.4,0,0.0
2025-08-07 11:00:00,2025-08-07 10:00:00,2025-08-07 11:00:00,0.0,XRPUSDT,ADAPTIVE_BREAKOUT,BULL,33.3333,True,100.0,relative_strength,2,2025-08-07 11:00:00,0.0,False,relative_strength|route_quality,0,,0.0,False,0,False,100.0,2.4,0,0.0
2025-08-07 11:00:00,2025-08-07 10:00:00,2025-08-07 11:00:00,0.0,DOGEUSDT,ADAPTIVE_BREAKOUT,BULL,100.0,True,100.0,,1,2025-08-07 11:00:00,0.0,False,route_quality,0,,0.0,False,0,False,100.0,2.4,0,0.0
2025-08-07 12:00:00,2025-08-07 11:00:00,2025-08-07 12:00:00,0.0,DOGEUSDT,ADAPTIVE_BREAKOUT,STRONG_BULL,100.0,True,100.0,rsi,1,2025-08-07 11:00:00,1.0,False,rsi|route_quality,0,,0.0,False,0,False,100.0,2.4,0,0.0
