symbol,variant,signal_time,signal_close,breakout_level,breakout_percent,next_open,forward_6h_return_pct,forward_24h_return_pct,forward_72h_return_pct
BTCUSDT,TRUE_ATH,2025-08-14 01:00:00,123847.83,123667.79,0.14558358324345821,123847.82,-1.6766948340309895,-4.574848390548992,-5.3231700000855975
BTCUSDT,TRUE_ATH,2025-10-05 05:00:00,125172.81,124474.0,0.5614104150264199,125172.81,-1.7134711603901898,-1.272281096829253,-2.614633321725379
BTCUSDT,TRUE_ATH,2025-10-06 19:00:00,126011.18,125819.2,0.15258402533158133,126011.18,-0.881072615937728,-4.059806439396885,-4.2550668916837235
BTCUSDT,365D_HIGH,2025-08-14 01:00:00,123847.83,123667.79,0.14558358324345821,123847.82,-1.6766948340309895,-4.574848390548992,-5.3231700000855975
BTCUSDT,365D_HIGH,2025-10-05 05:00:00,125172.81,124474.0,0.5614104150264199,125172.81,-1.7134711603901898,-1.272281096829253,-2.614633321725379
BTCUSDT,365D_HIGH,2025-10-06 19:00:00,126011.18,125819.2,0.15258402533158133,126011.18,-0.881072615937728,-4.059806439396885,-4.2550668916837235
ETHUSDT,TRUE_ATH,2025-08-24 18:00:00,4905.57,4887.59,0.3678704637663843,4905.56,-2.556486925040169,-6.497729107380201,-5.579994944511945
ETHUSDT,365D_HIGH,2025-08-09 06:00:00,4181.94,4107.8,1.8048590486391625,4181.95,0.1924939322564878,0.9227752603450545,2.476117600640859
ETHUSDT,365D_HIGH,2025-08-09 10:00:00,4219.62,4202.19,0.41478371991747753,4219.62,-0.23817310563510885,0.13626819476635355,1.6207620591427663
ETHUSDT,365D_HIGH,2025-08-09 20:00:00,4258.57,4254.86,0.08719440827664737,4258.57,0.9904733279011646,-0.22871527296721705,6.067764531286346
ETHUSDT,365D_HIGH,2025-08-12 13:00:00,4407.27,4366.46,0.9346243868030513,4407.26,1.8837100602188128,6.322522383521734,5.016949306371754
ETHUSDT,365D_HIGH,2025-08-12 16:00:00,4472.62,4434.25,0.8653098043637675,4472.62,2.5457114621854737,4.2874199015342285,-0.9336809297458837
ETHUSDT,365D_HIGH,2025-08-12 18:00:00,4500.25,4487.1,0.29306233424706285,4500.26,2.0056618950905047,5.023931950598404,-1.3616991018296831
ETHUSDT,365D_HIGH,2025-08-12 21:00:00,4621.84,4518.89,2.2782143402472643,4621.83,0.036565602802363095,2.071690217943978,-4.237282634800499
ETHUSDT,365D_HIGH,2025-08-13 04:00:00,4647.0,4639.7,0.1573377589068281,4646.99,1.2875000806974013,2.734888605312258,-4.6212709732536545
ETHUSDT,365D_HIGH,2025-08-13 10:00:00,4706.82,4683.0,0.5086483023702737,4706.82,-0.9016703421843131,1.129849877411937,-6.557718374613852
ETHUSDT,365D_HIGH,2025-08-22 18:00:00,4799.5,4788.0,0.24018379281536273,4799.51,0.6784025869307486,-1.035939085448312,-4.43170240295363
ETHUSDT,365D_HIGH,2025-08-24 18:00:00,4905.57,4887.59,0.3678704637663843,4905.56,-2.556486925040169,-6.497729107380201,-5.579994944511945
