symbol,selected_candles,completed_trades,winning_trades,win_rate,profit
BTCUSDT,175,6,0,0.0,-218.12486672
ETHUSDT,286,9,1,11.1111,-276.46711363
SOLUSDT,363,8,4,50.0,-28.79728161
XRPUSDT,151,3,0,0.0,-176.67471023
LINKUSDT,319,10,4,40.0,-24.22701195
DOGEUSDT,0,0,0,0.0,0
