window,symbol,route,entry_time,exit_time,exit_reason_diag,profit_diag,realized_r,strict_mfe_r,strict_mae_r,strict_mfe_percent,strict_mae_percent,reached_0_5r,reached_1r,reached_2r,partial_profit_taken_diag,bars_before_exit,entry_price,initial_stop,final_stop,initial_quantity,buy_fee,sell_fees,profit_trade,partial_profit_taken_trade,exit_reason_trade,fees,gross_before_fees,final_stop_r,mfe_bucket
2022,LINKUSDT,IGNITION,2022-02-06 01:00:00,2022-02-06 04:15:00,STOP LOSS,-1.54690852,-0.0687514890059673,1.156357226235991,0.3799728315392588,1.6848798445122504,0.5536425516245198,True,True,False,False,13,17.86893,17.60856928,17.8957334,86.41856672,1.54420732,1.54575037,-1.54690852,False,STOP LOSS,3.08995769,1.54304917,0.10294717267644049,1-2R
2022,SOLUSDT,ADAPTIVE_BREAKOUT,2022-02-16 20:00:00,2022-02-17 00:00:00,STOP LOSS,-34.46880934,-1.1491380756283478,0.1390537005125738,1.021817483025696,0.2307291057163683,1.6954819123461626,False,False,False,False,16,103.31163,101.59740018,101.59740018,17.49786338,1.80773279,1.77684856,-34.46880934,False,STOP LOSS,3.5845813499999997,-30.88422799,-1.0,<0.5R
2022,LINKUSDT,IGNITION,2022-03-01 23:00:00,2022-03-02 00:45:00,STOP LOSS,-33.61475241,-1.1245418544236576,0.4036072646668848,1.2456541960510104,0.8003851477402691,2.4702308531598045,False,False,False,False,7,15.28764,14.984474,14.984474,98.59929258,1.50735049,1.47671981,-33.61475241,False,STOP LOSS,2.9840703,-30.630682110000002,-1.0,<0.5R
2022,SOLUSDT,ADAPTIVE_BREAKOUT,2022-03-17 13:00:00,2022-03-17 21:00:00,STOP LOSS,-2.12780889,-0.0714242939480199,1.1992378861258712,0.6968848615312498,1.6819706412863968,0.9774039754857038,True,True,False,False,32,89.494725,88.239532,89.62896709,23.73428508,2.12409332,2.12621582,-2.12780889,False,STOP LOSS,4.250309140000001,2.1225002500000008,0.10694936157228423,1-2R
2022,LINKUSDT,IGNITION,2022-03-18 09:00:00,2022-03-19 22:30:00,STOP LOSS,30.03789441,1.3446666251220778,2.89156861415409,0.3461514076005572,5.571356982688361,0.6669504753795887,True,True,True,True,150,14.58729,14.30622802,14.95327257,79.47906679,1.1593842,1.19177325,30.03789441,True,STOP LOSS,2.35115745,32.38905186,1.302141862090353,>=2R
2022,LINKUSDT,IGNITION,2022-03-23 15:00:00,2022-03-24 13:45:00,STOP LOSS,5.44924085,0.2432031345988954,1.420025551707521,0.4211831649908218,3.3921814602902582,1.0061295882670922,True,True,False,False,91,15.68784,15.31308618,15.81838882,59.78892804,0.93795914,0.94529163,5.44924085,False,STOP LOSS,1.88325077,7.33249162,0.34835887730243825,1-2R
2022,LINKUSDT,IGNITION,2022-03-27 00:00:00,2022-03-27 01:45:00,STOP LOSS,-2.49528948,-0.1182486283670945,1.0589789053876368,0.35711703734842,0.8971193493587999,0.302533508987777,True,True,False,False,7,15.837915,15.7037433,15.86167187,157.27652371,2.49093221,2.49342128,-2.49528948,False,STOP LOSS,4.98435349,2.4890640100000003,0.17706319589003844,1-2R
2022,LINKUSDT,IGNITION,2022-03-31 01:00:00,2022-03-31 14:15:00,MARKET SEVERE SHOCK,1.55566651,0.0520573588728506,2.212212037639841,0.9557479193463088,3.982590837146263,1.7206094359160644,True,True,True,True,53,17.358675,17.04617105,17.46848232,95.62663218,1.65995163,1.66483208,1.55566651,True,MARKET SEVERE SHOCK,3.32478371,4.88045022,0.3513789825696541,>=2R
2022,LINKUSDT,IGNITION,2022-04-03 05:00:00,2022-04-03 20:30:00,STOP LOSS,10.68931387,0.4768550360896641,1.4132989910069649,0.2489464386240499,3.170574125034729,0.5584827710508634,True,True,False,False,62,17.698845,17.30179172,17.93277089,56.45659322,0.99921649,1.01191694,10.68931387,False,STOP LOSS,2.01113343,12.7004473,0.5891549114013189,1-2R
2022,SOLUSDT,ADAPTIVE_BREAKOUT,2022-04-20 12:00:00,2022-04-20 13:45:00,STOP LOSS,-26.56734094,-1.1839106142229852,0.1710605899583884,2.051246660320347,0.2306055158601974,2.765270448177152,False,False,False,False,7,110.485215,108.99577199,108.99577199,15.06625398,1.66459831,1.6413369,-26.56734094,False,STOP LOSS,3.30593521,-23.26140573,-1.0,<0.5R
